,0
0,"['568.359', '3695.101', '30.00']"
1,"['0.74', '-0.50', '1.07', '2578.125', '4222', '3959.037', '30.00']"
2,"['1.41', '0.11', '1.80', '2573.242', '3959.037', '30.00']"
3,"['-2.43', '6.94', '-3.75', '2568.359', '3695.101', '30.00']"
4,"['0.74', '-0.50', '1.07', '2578.125', '422-3.61', '6.24', '-3.64', '2583.008', '4486.909', '30.00']"
5,"['-3.00', '3.00', '-3.51', '2578.125', '4222.973', '30.00']"
6,"['1.20', '-3.15', '1.67', '2592.773', '5014.780', '30.00']"
7,"['7.73', '-10.96', '11.36', '2568.359', '3695.101', '30.00']"
8,"['-1.97', '6.36', '-0.53', '2573.242', '3959.037', '30.00']"
9,"['-3.31', '5.56', '-3.33', '2558.594', '3167.229', '30.00']"
10,"['3.16', '1.78', '3.99', '2578.125', '4222.973', '30.00']"
11,"['3.83', '-6.51', '6.00', '2568.359', '3695.101', '30.00']"
12,"['-0.32', '0.56', '0.02', '2587.891', '4750.845', '30.00']"
13,"['-3.92', '4.95', '-3.51', '2607.422', '5806.588', '30.00']"
14,"['-2.09', '0.75', '-4.86', '2573.242', '3959.037', '30.00']"
15,"['0.41', '-2.48', '4.11', '2568.359', '3695.101', '30.00']"
16,"['4.01', '-9.74', '-1.75', '2563.477', '3431.166', '30.00']"
17,"['-3.25', '1.36', '-3.39', '2568.359', '3695.101', '30.00']"
18,"['-6.11', '7.33', '-5.65', '2573.242', '3959.037', '30.00']"
19,"['1.14', '-0.05', '-4.67', '2573.242', '3959.037', '30.00']"
20,"['3.64', '-3.83', '3.74', '2578.125', '4222.973', '30.00']"
21,"['0.11', '-2.30', '-0.28', '2587.891', '4750.845', '30.00']"
22,"['-4.59', '5.20', '-8.51', '2583.008', '4486.909', '30.00']"
23,"['0.96', '0.32', '-0.77', '2568.359', '3695.101', '30.00']"
24,"['0.96', '-1.14', '1.24', '2558.594', '3167.229', '30.00']"
25,"['4.07', '-7.30', '1.24', '2587.891', '4750.845', '30.00']"
26,"['-2.03', '3.55', '-3.51', '2573.242', '3959.037', '30.00']"
27,"['-4.47', '10.38', '-5.89', '2563.477', '3431.166', '30.00']"
28,"['-0.93', '4.83', '0.08', '2568.359', '3695.101', '30.00']"
29,"['3.89', '-6.20', '6.97', '2573.242', '3959.037', '30.00']"
30,"['-0.32', '1.54', '1.55', '2597.656', '5278.716', '30.00']"
31,"['-2.76', '5.99', '-3.82', '2563.477', '3431.166', '30.00']"
32,"['-2.64', '7.58', '-0.71', '2568.359', '3695.101', '30.00']"
33,"['1.20', '-3.70', '0.14', '2568.359', '3695.101', '30.00']"
34,"['3.70', '-4.62', '7.10', '2539.062', '2111.487', '30.00']"
35,"['0.17', '-1.57', '0.69', '2573.242', '3959.037', '30.00']"
36,"['-3.12', '1.85', '-4.80', '2578.125', '4222.973', '30.00']"
37,"['-5.50', '5.38', '-5.28', '2573.242', '3959.037', '30.00']"
38,"['1.69', '-2.24', '2.10', '2602.539', '5542.652', '30.00']"
39,"['2.85', '-3.15', '3.31', '2578.125', '4222.973', '30.00']"
40,"['1.81', '-2.85', '5.08', '2578.125', '4222.973', '30.00']"
41,"['-3.31', '7.15', '-2.17', '2553.711', '2903.294', '30.00']"
42,"['-1.36', '4.89', '-3.15', '2553.711', '2903.294', '30.00']"
