,x-axis,y-axis,z-axis,voltage,current,temperature
0,-1.6,2.58,-1.2,2587.891,4750.845,32
1,2.91,-7.36,1.12,2553.711,2903.294,32
2,3.03,-2.42,7.52,2573.242,3959.037,32
3,0.32,1.4,1.08,2573.242,3959.037,32
4,4.22,-5.43,2.3,2553.711,2903.294,32
5,0.57,-3.3,2.05,2592.773,5014.78,32
6,-4.74,8.78,-5.69,2563.477,3431.166,32
7,-4.86,7.56,-6.85,2563.477,3431.166,32
8,-0.78,2.68,1.2,2558.594,3167.229,32
9,3.98,-6.95,5.96,2548.828,2639.358,32
10,3.43,-6.35,6.44,2578.125,4222.973,32
11,-4.92,5.97,-4.35,2563.477,3431.166,32
12,-3.4,3.53,-3.43,2558.594,3167.229,32
13,-0.96,3.65,0.53,2573.242,3959.037,32
14,6.79,-6.65,4.31,2578.125,4222.973,32
15,2.03,-2.44,3.15,2587.891,4750.845,32
16,-2.12,9.69,-2.28,2578.125,4222.973,32
17,-2.18,6.46,-4.78,2592.773,5014.78,32
18,2.09,-5.86,3.21,2602.539,5542.652,32
19,5.99,-7.14,5.47,2587.891,4750.845,32
20,1.6,6.34,-0.14,2573.242,3959.037,32
21,-4.25,6.64,-3.5,2592.773,5014.78,32
22,-1.81,0.24,-3.74,2568.359,3695.101,32
23,0.93,-2.5,-0.14,2626.953,6862.331,32
24,6.91,-6.53,10.1,2587.891,4750.845,32
25,1.66,-2.14,1.57,2583.008,4486.909,32
26,-3.89,5.42,-3.8,2587.891,4750.845,32
27,-1.02,3.96,-1.18,2578.125,4222.973,32
28,2.4,-9.09,2.91,2578.125,4222.973,32
29,4.83,-6.95,4.37,2578.125,4222.973,32
30,-0.65,5.36,-1.79,2587.891,4750.845,32
31,-4.37,4.69,-4.17,2583.008,4486.909,32
32,-2.6,5.97,-2.95,2573.242,3959.037,32
33,-1.57,-4.15,-1.12,2578.125,4222.973,32
34,3.07,-2.02,5.71,2583.008,4486.909,32
35,-2.85,2.01,-3.31,2602.539,5542.652,32
36,-4.07,8.11,-3.43,2583.008,4486.909,32
37,0.02,6.4,-1.79,2592.773,5014.78,32
38,1.24,-1.47,-4.41,2597.656,5278.716,32
39,3.43,-3.6,1.5,2587.891,4750.845,32
40,-0.17,-1.59,-0.81,2592.773,5014.78,32
41,-2.24,1.52,-4.65,2583.008,4486.909,32
42,-2.48,2.01,-4.71,2602.539,5542.652,32
43,-0.1,-3.24,1.63,2583.008,4486.909,32
44,2.58,-1.89,2.91,2587.891,4750.845,32
45,1.6,-5.19,3.58,2617.187,6334.459,32
46,-0.17,0.24,1.93,2587.891,4750.845,32
47,-4.43,4.63,-3.56,2622.07,6598.395,32
48,-1.75,2.98,-1.48,2607.422,5806.588,32
49,5.99,-10.19,5.35,2592.773,5014.78,32
50,2.4,-3.05,5.9,2587.891,4750.845,32
51,-1.08,4.75,-3.5,2568.359,3695.101,32
52,-1.14,0,-3.86,2607.422,5806.588,32
53,-1.45,5.55,-1.67,2602.539,5542.652,32
54,3.86,-5.43,3.7,2597.656,5278.716,32
55,2.4,-0.13,3.33,2578.125,4222.973,32
56,-0.84,1.09,-2.21,2583.008,4486.909,32
57,-2.12,7.98,-2.76,2578.125,4222.973,32
58,0.75,-1.71,3.46,2583.008,4486.909,32
59,4.16,-10.8,3.21,2568.359,3695.101,32
60,2.7,-0.8,1.81,2558.594,3167.229,32
61,0.02,6.09,4.25,2563.477,3431.166,32
62,-3.34,6.52,-6.3,2578.125,4222.973,32
63,0.32,-1.53,1.32,2563.477,3431.166,32
64,7.09,-6.22,8.15,2553.711,2903.294,32
65,1.48,-5.92,3.64,2568.359,3695.101,32
66,0.14,3.78,-0.69,2583.008,4486.909,32
67,-1.2,0.67,-5.75,2548.828,2639.358,32
68,2.27,-10.55,3.15,2578.125,4222.973,32
69,2.82,0.06,2.36,2578.125,4222.973,32
70,2.21,0,1.63,2573.242,3959.037,32
71,-3.28,1.58,-5.51,2592.773,5014.78,32
72,-6.14,3.23,-8.19,2592.773,5014.78,32
73,5.81,-7.63,6.2,2573.242,3959.037,32
74,-0.04,-2.08,0.65,2592.773,5014.78,32
75,-3.82,8.65,-8.56,2563.477,3431.166,32
76,-1.57,0.18,-5.32,2578.125,4222.973,32
77,0.63,-3.42,1.93,2607.422,5806.588,32
78,1.36,-2.44,1.44,2573.242,3959.037,32
79,2.94,-4.03,0.04,2573.242,3959.037,32
80,-5.41,6.83,-5.02,2587.891,4750.845,32
81,-1.93,5.79,-8.56,2592.773,5014.78,32
82,-0.29,1.22,0.9,2587.891,4750.845,32
83,2.76,-0.31,5.96,2597.656,5278.716,32
84,2.4,-2.63,-1.73,2563.477,3431.166,32
85,-5.04,5.24,-6,2578.125,4222.973,32
86,0.32,2.01,0.77,2578.125,4222.973,32
87,2.58,-2.69,2.36,2597.656,5278.716,32
88,0.02,-3.91,3.7,2563.477,3431.166,32
89,-0.9,6.09,-1.67,2587.891,4750.845,32
90,-4.07,0.85,-7.09,2583.008,4486.909,32
91,-2,4.14,-3.13,2578.125,4222.973,32
92,3,-1.83,5.29,2568.359,3695.101,32
93,0.44,-4.39,-1.3,2612.305,6070.524,32
94,-3.46,5.67,-1.48,2592.773,5014.78,32
95,-2.6,8.72,-5.81,2583.008,4486.909,32
96,4.04,-10.25,1.32,2573.242,3959.037,32
97,2.76,-5.92,5.04,2573.242,3959.037,32
98,-2.3,9.39,-7.46,2597.656,5278.716,32
99,-5.23,6.28,-3.62,2573.242,3959.037,32
100,-0.53,0.91,1.2,2597.656,5278.716,32
101,5.02,-9.27,1.08,2578.125,4222.973,32
102,2.46,0.12,3.76,2592.773,5014.78,32
103,-6.02,6.7,-5.69,2583.008,4486.909,32
104,-7.6,5.48,-11.73,2597.656,5278.716,32
105,-0.65,3.65,0.16,2583.008,4486.909,32
106,4.22,-9.33,4.49,2583.008,4486.909,32
107,1.05,-2.56,-2.03,2583.008,4486.909,32
