0
"['-1.05574', '28.00']"
"['', '28.00']"
"['1.17', '-1.20', '0.35', '5.01953', '0.52787', '28.00']"
"['-4.74', '3.56', '-4.89', '5.00000', '0.00000', '28.00']"
"['-3.34', '7.70', '-0.38', '4.96094', '-1.05574', '28.00']"
"['2.19', '-5.52', '-0.41', '4.95117', '-1.31968', '28.00']"
"['4.57', '-8.88', '1.85', '5.00000', '0.00000', '28.00']"
"['3.29', '-7.11', '6.85', '4.99023', '-0.26394', '28.00']"
"['2.80', '-4.49', '2.70', '4.99023', '-0.26394', '28.00']"
"['-1.71', '1.92', '0.32', '4.98047', '-0.52787', '28.00']"
"['-3.48', '3.87', '-6.14', '5.00000', '0.00000', '28.00']"
"['-4.58', '5.03', '-6.51', '5.00977', '0.26394', '28.00']"
"['-4.03', '6.98', '-3.03', '4.98047', '-0.52787', '28.00']"
"['4.08', '-3.08', '4.35', '4.99023', '-0.26394', '28.00']"
"['1.64', '-0.65', '3.49', '5.00000', '0.00000', '28.00']"
"['3.72', '-8.82', '4.47', '4.96094', '-1.05574', '28.00']"
"['1.52', '-1.32', '3.68', '5.07812', '2.11149', '28.00']"
"['-1.89', '2.65', '-4.31', '5.00000', '0.00000', '28.00']"
"['-2.75', '5.82', '-2.91', '5.00977', '0.26394', '28.00']"
"['-4.33', '8.01', '-7.48', '4.99023', '-0.26394', '28.00']"
"['-1.16', '2.83', '-2.12', '4.97070', '-0.79181', '28.00']"
"['2.62', '-2.96', '-1.69', '5.00977', '0.26394', '28.00']"
"['3.90', '-10.22', '10.38', '4.97070', '-0.79181', '28.00']"
"['3.53', '-1.99', '5.81', '4.97070', '-0.79181', '28.00']"
"['4.02', '-8.02', '2.82', '5.00977', '0.26394', '28.00']"
"['-1.65', '8.32', '-5.71', '5.00000', '0.00000', '28.00']"
"['-2.93', '0.39', '-1.75', '4.97070', '-0.79181', '28.00']"
"['-1.83', '3.44', '-4.25', '4.96094', '-1.05574', '28.00']"
"['-2.08', '5.94', '0.14', '4.99023', '-0.26394', '28.00']"
"['-2.01', '8.50', '-1.57', '4.99023', '-0.26394', '28.00']"
"['4.33', '-6.80', '-1.38', '5.00000', '0.00000', '28.00']"
"['2.80', '-4.73', '3.74', '4.95117', '-1.31968', '28.00']"
"['2.74', '-2.96', '3.43', '5.00977', '0.26394', '28.00']"
"['2.99', '-6.01', '1.60', '4.99023', '-0.26394', '28.00']"
"['1.52', '-4.43', '-0.90', '5.00000', '0.00000', '28.00']"
"['-2.56', '2.16', '-2.48', '4.96094', '-1.05574', '28.00']"
"['-2.87', '1.06', '-4.31', '5.01953', '0.52787', '28.00']"
"['-6.40', '14.29', '-0.16', '5.02930', '0.79181', '28.00']"
"['-5.31', '7.71', '-2.85', '5.01953', '0.52787', '28.00']"
"['-1.53', '3.68', '-0.47', '4.98047', '-0.52787', '28.00']"
"['2.92', '1.73', '-0.35', '4.99023', '-0.26394', '28.00']"
"['5.42', '-5.52', '8.55', '4.98047', '-0.52787', '28.00']"
"['1.64', '-0.58', '5.45', '4.98047', '-0.52787', '28.00']"
"['5.00', '-5.28', '3.80', '4.97070', '-0.79181', '28.00']"
"['1.52', '-4.49', '2.27', '5.02930', '0.79181', '28.00']"
"['-0.12', '-3.63', '-1.69', '5.00000', '0.00000', '28.00']"
"['0.85', '1.06', '1.79', '4.93164', '-1.84755', '28.00']"
"['-3.84', '4.72', '-4.98', '4.99023', '-0.26394', '28.00']"
"['-1.65', '4.96', '-4.92', '5.00000', '0.00000', '28.00']"
"['-6.71', '11.79', '-4.86', '4.96094', '-1.05574', '28.00']"
"['-1.22', '1.49', '-2.60', '5.00000', '0.00000', '28.00']"
"['2.38', '-0.71', '0.45', '5.03906', '1.05574', '28.00']"
"['4.33', '-4.00', '5.63', '5.00977', '0.26394', '28.00']"
"['4.57', '-7.17', '8.92', '4.98047', '-0.52787', '28.00']"
"['3.11', '-4.91', '3.43', '4.98047', '-0.52787', '28.00']"
"['0.67', '0.03', '-2.12', '5.00977', '0.26394', '28.00']"
"['1.77', '-5.34', '2.03', '4.95117', '-1.31968', '28.00']"
"['-0.67', '3.81', '0.81', '5.01953', '0.52787', '28.00']"
"['0.97', '1.61', '8.07', '4.99023', '-0.26394', '28.00']"
"['-2.44', '1.00', '-3.70', '4.99023', '-0.26394', '28.00']"
"['-3.66', '6.43', '-5.41', '4.97070', '-0.79181', '28.00']"
"['-2.08', '4.17', '-2.79', '5.00000', '0.00000', '28.00']"
"['0.12', '2.28', '1.18', '4.97070', '-0.79181', '28.00']"
"['0.61', '4.05', '1.79', '4.99023', '-0.26394', '28.00']"
"['0.24', '-3.88', '-4.86', '5.01953', '0.52787', '28.00']"
"['2.56', '-4.91', '2.03', '4.99023', '-0.26394', '28.00']"
"['3.29', '-4.73', '4.29', '4.98047', '-0.52787', '28.00']"
"['5.61', '-8.69', '12.40', '4.99023', '-0.26394', '28.00']"
"['3.72', '-5.52', '1.05', '5.00000', '0.00000', '28.00']"
"['4.33', '-8.08', '2.21', '4.99023', '-0.26394', '28.00']"
"['0.24', '-1.07', '-5.47', '4.99023', '-0.26394', '28.00']"
"['-1.34', '2.04', '2.21', '5.02930', '0.79181', '28.00']"
"['-2.38', '2.22', '-1.32', '4.98047', '-0.52787', '28.00']"
"['-2.87', '6.73', '-5.35', '5.00000', '0.00000', '28.00']"
"['-3.90', '4.54', '-6.93', '5.02930', '0.79181', '28.00']"
"['-5.37', '6.67', '-5.53', '5.01953', '0.52787', '28.00']"
"['-0.12', '-1.01', '0.02', '5.00000', '0.00000', '28.00']"
"['-0.80', '5.27', '-1.08', '4.99023', '-0.26394', '28.00']"
"['0.91', '3.20', '-0.23', '4.97070', '-0.79181', '28.00']"
"['1.52', '-0.40', '-3.70', '4.97070', '-0.79181', '28.00']"
"['1.77', '-5.83', '1.05', '5.00000', '0.00000', '28.00']"
"['3.84', '-6.01', '2.88', '5.02930', '0.79181', '28.00']"
"['2.62', '-7.66', '4.59', '5.02930', '0.79181', '28.00']"
"['3.96', '-6.68', '1.97', '5.00977', '0.26394', '28.00']"
"['5.67', '-7.78', '3.37', '4.99023', '-0.26394', '28.00']"
"['5.55', '-17.41', '3.55', '5.07812', '2.11149', '28.00']"
"['-0.06', '-1.19', '0.38', '4.97070', '-0.79181', '28.00']"
"['-1.65', '2.77', '-1.75', '5.00000', '0.00000', '28.00']"
"['-4.39', '6.61', '-5.65', '4.97070', '-0.79181', '28.00']"
"['-4.45', '4.96', '-7.05', '4.99023', '-0.26394', '28.00']"
"['-4.45', '16.37', '-5.35', '5.00977', '0.26394', '28.00']"
"['-3.97', '10.76', '-1.45', '5.00000', '0.00000', '28.00']"
"['-5.49', '5.88', '-5.71', '4.99023', '-0.26394', '28.00']"
"['-1.04', '2.53', '-1.26', '5.00000', '0.00000', '28.00']"
"['1.95', '2.04', '0.99', '4.96094', '-1.05574', '28.00']"
"['3.96', '-7.05', '1.97', '5.01953', '0.52787', '28.00']"
"['-0.06', '10.39', '0.32', '5.00000', '0.00000', '28.00']"
"['3.84', '-9.91', '0.63', '5.00977', '0.26394', '28.00']"
"['3.90', '-10.22', '1.73', '4.97070', '-0.79181', '28.00']"
"['1.70', '0.21', '6.18', '5.02930', '0.79181', '28.00']"
"['-0.98', '1.00', '4.29', '4.97070', '-0.79181', '28.00']"
"['-2.81', '0.70', '-3.70', '5.00000', '0.00000', '28.00']"
"['-4.03', '8.38', '-8.95', '5.00000', '0.00000', '28.00']"
"['-2.81', '7.16', '-3.70', '5.03906', '1.05574', '28.00']"
"['-2.01', '2.77', '-2.18', '5.00977', '0.26394', '28.00']"
"['0.61', '1.25', '3.01', '4.99023', '-0.26394', '28.00']"
"['3.53', '-2.41', '2.70', '4.97070', '-0.79181', '28.00']"
"['2.50', '-6.93', '1.91', '4.96094', '-1.05574', '28.00']"
"['5.61', '-5.95', '2.64', '4.99023', '-0.26394', '28.00']"
"['4.20', '-7.96', '3.49', '4.97070', '-0.79181', '28.00']"
"['4.27', '-10.77', '1.36', '4.95117', '-1.31968', '28.00']"
"['-2.56', '-3.39', '-3.27', '5.07812', '2.11149', '28.00']"
"['-2.32', '3.75', '-4.74', '5.01953', '0.52787', '28.00']"
"['-0.19', '-0.16', '0.87', '4.95117', '-1.31968', '28.00']"
"['0.55', '-3.33', '2.09', '5.00977', '0.26394', '28.00']"
"['-3.42', '13.74', '-0.65', '5.03906', '1.05574', '28.00']"
"['-5.00', '8.50', '-4.62', '5.00977', '0.26394', '28.00']"
"['-6.40', '12.46', '-11.02', '5.00000', '0.00000', '28.00']"
"['-0.37', '2.83', '0.26', '4.96094', '-1.05574', '28.00']"
"['1.10', '1.92', '-2.54', '4.96094', '-1.05574', '28.00']"
"['5.30', '-7.54', '6.60', '5.01953', '0.52787', '28.00']"
"['0.06', '-1.68', '0.02', '4.95117', '-1.31968', '28.00']"
"['2.19', '0.51', '3.68', '4.96094', '-1.05574', '28.00']"
"['4.63', '-8.69', '5.63', '5.03906', '1.05574', '28.00']"
"['3.66', '-9.79', '2.82', '5.00977', '0.26394', '28.00']"
