0,1,2,3,4,5
-2.47,5.32,-2.54,5.07812,2.11149,34.00
2.41,-10.35,-0.22,5.09766,2.63936,34.00
-3.26,1.78,-6.68,5.11719,3.16723,34.00
3.02,-8.58,2.53,5.07812,2.11149,34.00
-2.53,6.05,-0.71,5.12695,3.43117,34.00
4.11,-10.05,1.49,5.11719,3.16723,34.00
-2.41,7.09,2.34,5.11719,3.16723,34.00
-1.31,1.72,0.33,5.04883,1.31968,34.00
3.20,-2.48,1.98,5.03906,1.05574,34.00
-4.48,-0.90,-4.30,5.06836,1.84755,34.00
1.13,-1.08,4.42,5.08789,2.37542,34.00
-3.81,6.24,-5.89,5.10742,2.90329,34.00
6.07,-14.25,8.99,5.08789,2.37542,34.00
-1.13,1.36,-0.46,5.05859,1.58361,34.00
1.07,-5.59,-0.71,5.09766,2.63936,34.00
-0.03,-5.90,-2.90,5.13672,3.69510,34.00
-3.02,1.36,-3.63,5.06836,1.84755,34.00
-0.28,-0.53,4.23,5.12695,3.43117,34.00
-3.45,7.33,-0.89,5.13672,3.69510,34.00
2.35,-9.62,3.26,5.09766,2.63936,34.00
0.76,2.15,-3.21,5.03906,1.05574,34.00
-4.30,6.30,-11.62,5.00000,0.00000,34.00
0.64,-7.24,3.93,5.07812,2.11149,34.00
-1.86,7.52,-5.65,5.09766,2.63936,34.00
4.48,-11.20,0.03,5.04883,1.31968,34.00
-1.43,2.70,3.62,5.07812,2.11149,34.00
0.40,1.97,0.33,5.05859,1.58361,34.00
1.31,-1.57,2.34,5.09766,2.63936,34.00
-0.64,2.70,-2.54,5.07812,2.11149,34.00
6.55,-0.59,9.78,5.09766,2.63936,34.00
-4.67,9.22,1.73,5.04883,1.31968,34.00
2.29,-8.40,1.43,5.08789,2.37542,34.00
2.16,-1.51,5.82,5.04883,1.31968,34.00
-2.17,3.61,-1.38,5.07812,2.11149,34.00
4.11,-13.34,7.10,5.10742,2.90329,34.00
-2.04,1.85,-3.15,5.14648,3.95904,34.00
4.79,-7.85,2.53,5.05859,1.58361,34.00
-2.17,4.59,2.16,5.06836,1.84755,34.00
-0.70,-3.70,1.12,5.04883,1.31968,34.00
3.87,-6.57,2.89,5.05859,1.58361,34.00
-1.43,-2.91,-1.25,5.07812,2.11149,34.00
1.37,-5.29,1.25,5.04883,1.31968,34.00
-3.81,5.50,-1.25,5.07812,2.11149,34.00
-0.76,-3.46,-2.54,5.11719,3.16723,34.00
0.88,0.75,-0.95,5.08789,2.37542,34.00
-2.71,3.06,-1.07,5.10742,2.90329,34.00
0.82,2.58,1.61,5.09766,2.63936,34.00
-5.46,6.24,-3.51,5.07812,2.11149,34.00
2.29,-5.05,-1.44,5.08789,2.37542,34.00
-1.31,10.81,2.46,5.07812,2.11149,34.00
-3.39,1.11,0.45,5.08789,2.37542,34.00
1.37,-2.67,-3.33,5.11719,3.16723,34.00
-5.40,6.48,-5.22,5.08789,2.37542,34.00
3.32,-5.05,2.83,5.06836,1.84755,34.00
-6.01,12.58,-5.28,5.04883,1.31968,34.00
-0.58,-7.48,-5.34,5.07812,2.11149,34.00
1.74,-3.70,0.39,5.09766,2.63936,34.00
-4.24,4.83,-6.99,5.06836,1.84755,34.00
3.99,-9.86,1.79,5.04883,1.31968,34.00
