0,1,2,3
-1.97,13.68,-1.14,-1.84755
2.54,2.64,7.88,-1.84755
2.24,10.93,-1.75,-2.37542
-3.13,12.03,-2.79,-2.37542
3.70,11.42,4.71,-2.63936
-2.15,8.56,-4.13,-1.84755
-2.58,12.52,-1.27,-3.16723
-4.83,5.57,3.25,-1.58361
-1.36,15.93,-1.81,-1.84755
2.06,12.46,0.81,-2.37542
-4.41,6.24,-3.28,-1.05574
-1.66,9.41,-1.94,0.00000
-2.70,4.10,-9.74,-1.58361
-0.69,1.36,0.38,-2.37542
-2.21,1.60,1.42,-2.37542
3.40,5.75,0.99,-2.11149
0.96,-14.55,1.30,-1.84755
-1.05,-6.63,-4.38,-2.11149
5.23,-11.08,7.03,-2.37542
6.20,-12.54,3.31,-1.84755
6.14,-5.83,5.69,-2.11149
-1.42,-11.20,13.12,-1.84755
2.60,-2.66,4.34,-1.84755
1.20,8.07,1.42,-2.90329
-0.26,6.79,-6.57,-1.58361
-1.72,11.97,-1.08,-1.84755
-0.20,3.37,-3.95,-1.84755
6.14,4.90,2.82,-1.84755
-0.26,-2.85,4.71,-2.11149
-2.27,-9.07,-2.24,-2.63936
-5.26,-10.04,-5.11,-1.58361
5.59,-10.10,8.80,-1.84755
2.30,-2.79,7.58,-1.58361
1.08,-4.25,7.33,-1.84755
0.84,-2.36,1.23,-1.31968
1.63,-2.30,3.55,-2.37542
-0.26,9.90,2.64,-2.63936
2.54,8.01,2.51,-1.58361
-0.81,5.87,-4.80,-2.11149
-0.87,1.97,-1.08,-1.84755
2.18,6.06,1.23,-2.11149
-0.50,2.34,1.60,-2.37542
-2.70,-4.68,-0.47,-2.11149
-3.00,-12.18,-0.41,-2.11149
7.12,-10.71,2.88,-2.11149
3.28,-12.48,0.99,-2.63936
1.63,-8.03,9.65,-1.58361
3.58,-0.22,7.94,-1.84755
-1.79,13.19,-0.41,-2.37542
-2.70,8.43,-2.42,-1.84755
-6.30,9.23,-10.78,-2.37542
-0.93,3.62,-5.11,-1.31968
1.20,1.73,-1.02,-2.63936
1.69,10.20,-8.03,-1.58361
-3.49,9.71,-1.63,-2.63936
4.80,-2.60,1.30,-1.84755
-1.72,-0.77,2.03,-1.84755
0.35,-5.04,9.77,-2.63936
4.92,-4.25,4.34,-1.84755
4.92,-6.75,5.69,-2.11149
7.73,-17.66,15.20,-2.11149
4.13,-7.97,6.05,-2.37542
2.30,-3.88,5.50,-1.31968
1.26,-1.14,-0.90,-1.84755
2.54,-7.54,5.32,-1.31968
0.29,-2.79,8.43,-2.90329
8.58,-5.65,12.94,-2.63936
1.26,-6.26,4.77,-2.37542
-2.58,13.25,-3.52,-2.63936
-6.66,6.60,-11.75,-1.84755
0.17,6.24,-7.18,-3.16723
-2.70,2.09,-2.97,-2.63936
4.62,-9.80,6.23,-2.37542
-4.35,-2.48,-2.24,-2.37542
1.45,10.57,-0.29,-2.90329
-3.74,6.18,-5.23,-2.37542
-3.55,6.24,-10.66,-3.16723
1.57,-11.44,0.20,-2.11149
-0.20,-4.92,7.21,-3.43117
-14.35,14.59,-12.97,-3.69510
-1.97,3.98,-5.84,-3.16723
-0.99,4.71,-4.80,-3.95904
3.52,-15.71,5.38,-2.90329
3.09,-6.81,14.65,-2.90329
4.43,3.56,-0.60,-3.43117
-2.58,4.47,-7.79,-2.11149
-1.54,2.09,-2.30,-2.11149
3.70,-9.49,-0.11,-2.90329
4.19,1.24,-0.60,-2.63936
-0.75,4.59,-4.44,-2.63936
-0.20,-6.50,2.33,-3.43117
3.70,-3.09,5.93,-2.37542
4.74,4.23,8.67,-3.16723
-0.26,3.68,-2.67,-3.16723
-0.08,-10.59,2.76,-2.90329
6.08,0.81,4.40,-2.37542
3.09,-2.48,5.69,-3.43117
-2.03,14.84,-2.36,-3.69510
1.14,0.57,-0.11,-2.37542
6.75,-11.50,7.64,-2.37542
2.60,-5.47,10.44,-2.63936
1.51,11.60,-0.11,-3.95904
-2.46,4.71,-4.01,-1.84755
-2.40,-0.90,-0.60,-3.43117
4.13,-6.75,9.83,-2.90329
-2.40,10.87,-7.85,-2.63936
-1.05,3.98,-3.16,-3.16723
5.41,-8.94,4.59,-3.69510
2.42,-2.42,8.80,-2.37542
-4.41,3.07,-9.68,-2.90329
-0.32,-14.25,0.69,-2.63936
-1.79,-1.08,-2.30,-3.16723
-3.07,12.89,-8.77,-3.16723
-1.05,2.82,-5.41,-2.37542
4.19,-5.22,6.72,-3.16723
6.69,-1.08,5.01,-3.69510
-4.41,3.74,-9.13,-2.63936
3.82,-10.04,4.83,-2.90329
3.09,-4.74,5.62,-2.37542
-0.38,11.24,1.30,-2.90329
-2.76,1.42,-6.02,-2.63936
8.52,-4.80,13.43,-2.63936
-2.64,11.79,1.05,-3.16723
-1.66,4.78,-3.40,-3.16723
-2.52,-3.94,-3.95,-3.43117
