,0,1,2,3,4
0,-4.84,-3.78,0.15,2519.531,1055.743
1,1.62,-14.57,5.46,2485.352,-791.807
2,-5.39,-8.35,2.41,2519.531,1055.743
3,-4.17,-9.93,2.59,2514.648,791.807
4,4.18,-17.19,7.96,2509.766,527.872
5,-5.15,-8.47,3.14,2500,0
6,-4.48,-15.12,3.2,2534.18,1847.551
7,7.47,-17.07,7.65,2490.234,-527.872
8,-1.92,-8.65,0.64,2519.531,1055.743
9,3.27,-2.07,1.43,2504.883,263.936
10,10.71,-6.34,3.02,2514.648,791.807
11,4.97,1.47,-0.27,2519.531,1055.743
12,3.69,2.69,-1.49,2519.531,1055.743
13,-3.44,0.49,-2.35,2529.297,1583.615
14,-1.06,-12.19,1.31,2509.766,527.872
15,-4.6,-9.75,3.87,2509.766,527.872
16,-4.23,12.2,-4.42,2485.352,-791.807
17,6.68,10.49,-2.59,2509.766,527.872
18,-0.27,12.5,-2.47,2509.766,527.872
19,3.57,13.54,-0.58,2514.648,791.807
20,1.01,4.88,0.27,2504.883,263.936
21,-6.37,0.25,-0.03,2490.234,-527.872
22,5.89,11.22,-0.21,2500,0
23,-6.18,-1.28,-0.15,2504.883,263.936
24,3.39,-13.23,3.45,2490.234,-527.872
25,8.39,2.2,-0.4,2490.234,-527.872
26,-1.49,6.1,-1.49,2509.766,527.872
27,4.61,-16.4,7.1,2524.414,1319.679
28,2.17,-2.37,0.46,2490.234,-527.872
29,3.94,10.43,-1.62,2480.469,-1055.743
30,0.95,0.49,2.41,2519.531,1055.743
31,-4.42,-7.68,2.77,2485.352,-791.807
32,5.65,-4.51,1.49,2514.648,791.807
33,11.56,1.65,1.43,2500,0
34,7.29,12.57,-1.43,2509.766,527.872
35,-2.28,3.42,0.64,2509.766,527.872
36,-6.37,-12.43,3.02,2514.648,791.807
37,4.55,-2.62,0.58,2519.531,1055.743
38,-2.28,12.63,-3.63,2500,0
39,3.15,13.36,-3.38,2504.883,263.936
40,-4.29,-3.9,1.07,2504.883,263.936
41,2.6,-2.37,-0.58,2500,0
42,4.24,9.64,-2.47,2504.883,263.936
43,-6.12,-3.41,0.88,2509.766,527.872
44,-4.11,-10.12,2.65,2514.648,791.807
45,-6.43,-11.7,1.07,2495.117,-263.936
46,5.46,6.29,-2.04,2500,0
47,-11.43,15.8,-6.19,2504.883,263.936
48,-6.25,-10.24,1.8,2500,0
49,-0.57,-3.1,0.15,2490.234,-527.872
50,3.63,11.16,-2.96,2509.766,527.872
51,0.65,9.03,-1.49,2500,0
52,-3.26,-5.79,1.01,2509.766,527.872
53,-7.77,-8.96,-0.27,2500,0
54,5.1,-1.82,-0.03,2519.531,1055.743
55,9.43,13.42,-0.88,2504.883,263.936
56,2.05,5.8,-0.52,2485.352,-791.807
57,-1,-8.96,0.52,2485.352,-791.807
58,-9.17,14.03,-7.04,2524.414,1319.679
59,-3.56,7.5,-1.68,2509.766,527.872
60,-4.96,-12.13,2.71,2500,0
61,-5.7,1.59,-2.65,2500,0
62,0.71,-9.81,1.8,2500,0
63,3.63,13.18,-2.53,2500,0
64,-6.43,2.63,-2.04,2514.648,791.807
65,-2.46,-17.25,2.41,2504.883,263.936
66,6.07,11.35,-2.41,2509.766,527.872
67,-3.14,4.82,0.09,2514.648,791.807
68,-2.65,-13.84,1.98,2524.414,1319.679
69,6.01,5.68,-0.52,2509.766,527.872
70,2.78,8.79,0.03,2509.766,527.872
71,-1.43,4.09,0.64,2524.414,1319.679
72,4.36,-19.14,4.91,2524.414,1319.679
73,9.12,7.93,-2.04,2514.648,791.807
74,-2.95,1.1,0.52,2500,0
75,-0.64,-14.2,3.51,2500,0
76,9.55,6.83,-3.45,2500,0
77,-2.46,4.46,-1.19,2548.828,2639.358
78,-17.65,-3.96,-2.1,2514.648,791.807
79,0.04,-8.23,0.52,2495.117,-263.936
80,7.05,8.11,-1.01,2524.414,1319.679
81,11.68,9.15,0.09,2519.531,1055.743
82,3.45,14.33,-3.14,2514.648,791.807
83,-5.76,-7.25,1.86,2514.648,791.807
84,-7.28,-9.75,0.64,2500,0
85,7.05,3.97,-2.16,2509.766,527.872
86,8.51,-4.32,4.12,2524.414,1319.679
87,-5.21,-12.62,4.12,2495.117,-263.936
88,5.89,0.61,-0.03,2504.883,263.936
89,-11.43,15.37,-5.09,2504.883,263.936
90,-2.83,-5.36,2.41,2495.117,-263.936
91,-3.81,-12.56,0.82,2490.234,-527.872
92,-4.66,19.39,-5.58,2514.648,791.807
93,-3.75,-2.92,1.07,2490.234,-527.872
94,0.83,-8.41,0.88,2514.648,791.807
95,7.66,10.43,-0.88,2509.766,527.872
96,-7.22,0.98,-0.21,2509.766,527.872
97,1.5,-8.59,1.62,2524.414,1319.679
98,7.9,-0.79,0.82,2524.414,1319.679
99,-1.49,11.04,-1.55,2500,0
100,-3.68,-7.31,2.41,2534.18,1847.551
101,0.58,-7.68,0.76,2500,0
102,-1.67,7.08,-0.64,2548.828,2639.358
103,12.23,-16.09,6.98,2514.648,791.807
104,3.63,15.8,-2.96,2500,0
105,-5.45,-13.04,1.55,2509.766,527.872
106,19.3,6.65,2.53,2509.766,527.872
107,-4.78,1.41,-0.27,2509.766,527.872
108,4.79,-6.28,0.52,2514.648,791.807
109,0.71,16.96,-3.87,2504.883,263.936
110,-4.9,-0.3,0.4,2475.586,-1319.679
111,3.21,-4.14,0.64,2529.297,1583.615
112,1.74,11.35,-0.27,2500,0
113,-0.51,-9.32,1.62,2509.766,527.872
114,6.99,7.38,0.15,2495.117,-263.936
