,x-axis,y-axis,z-axis,volatge,current
0,-1.78,11.06,-0.42,2465.82,-1847.551
1,2.48,-14.24,-2.25,2451.172,-2639.358
2,-0.69,6.55,2.62,2451.172,-2639.358
3,-0.75,-10.71,-3.47,2431.641,-3695.101
4,-2.21,10.51,2.26,2446.289,-2903.294
5,-0.99,-9.61,-1.77,2480.469,-1055.743
6,2.97,2.71,1.34,2451.172,-2639.358
7,-2.45,-2.66,-0.85,2451.172,-2639.358
8,3.52,-2.05,1.89,2456.055,-2375.422
9,-1.66,3.56,-4.69,2436.523,-3431.166
10,0.84,-2.41,1.22,2470.703,-1583.615
11,-1.05,2.16,-3.72,2465.82,-1847.551
12,-0.63,-1.5,1.16,2465.82,-1847.551
13,0.65,0.82,0.19,2431.641,-3695.101
14,0.84,-5.83,1.16,2465.82,-1847.551
15,-1.24,4.23,-2.8,2475.586,-1319.679
16,3.89,-7.54,-2.86,2441.406,-3167.229
17,-2.03,12.16,0.67,2456.055,-2375.422
18,2.12,-4.73,-5.3,2441.406,-3167.229
19,-1.05,17.22,-1.64,2446.289,-2903.294
20,1.51,-17.41,-1.34,2456.055,-2375.422
21,-2.82,19.48,1.77,2451.172,-2639.358
22,1.75,-13.15,-0.42,2465.82,-1847.551
23,1.57,2.46,1.16,2451.172,-2639.358
24,-0.56,-4.73,-2.56,2456.055,-2375.422
25,1.81,11.37,0.92,2451.172,-2639.358
26,-0.93,-9.49,-2.13,2446.289,-2903.294
27,1.75,4.17,0.92,2436.523,-3431.166
28,-2.09,-9.91,0.49,2451.172,-2639.358
29,3.89,0.09,-0.55,2456.055,-2375.422
30,-2.52,2.1,-2.44,2475.586,-1319.679
31,4.01,-6.74,5.31,2460.937,-2111.487
32,-2.7,-5.83,-5.85,2446.289,-2903.294
33,0.05,3.68,1.04,2446.289,-2903.294
34,-0.02,-0.34,0.43,2426.758,-3959.037
35,2.91,-2.23,3.05,2451.172,-2639.358
36,-1.85,7.71,-2.86,2446.289,-2903.294
37,3.03,3.07,1.04,2460.937,-2111.487
38,-0.32,-12.78,2.26,2456.055,-2375.422
39,4.13,9.96,-4.33,2451.172,-2639.358
40,-4.47,1.85,-2.86,2475.586,-1319.679
41,5.05,-1.13,7.38,2465.82,-1847.551
42,-3.31,11.06,-7.99,2460.937,-2111.487
43,3.34,-10.83,8.17,2490.234,-527.872
44,0.23,8.56,-2.13,2451.172,-2639.358
45,1.69,1.67,3.3,2480.469,-1055.743
46,-1.48,-9.3,2.32,2456.055,-2375.422
47,0.17,2.83,0.37,2456.055,-2375.422
48,-0.08,-3.57,1.34,2465.82,-1847.551
49,4.01,-4.85,4.64,2475.586,-1319.679
50,-4.1,-15.46,-0.36,2431.641,-3695.101
51,1.81,-4.98,4.82,2470.703,-1583.615
52,-2.82,3.62,-3.66,2446.289,-2903.294
53,3.22,-13.63,3.9,2470.703,-1583.615
54,-2.09,6.24,-3.05,2460.937,-2111.487
55,2.67,-16.38,4.64,2451.172,-2639.358
56,-1.42,-0.04,-3.41,2451.172,-2639.358
57,1.14,0.45,2.2,2465.82,-1847.551
58,-2.82,-0.1,-2.56,2441.406,-3167.229
59,1.51,-2.72,3.05,2436.523,-3431.166
60,-2.03,1.61,-4.69,2456.055,-2375.422
61,1.69,-4.79,3.78,2446.289,-2903.294
62,-1.11,0.09,-1.89,2451.172,-2639.358
63,1.14,-0.65,3.17,2475.586,-1319.679
64,-0.14,-4.67,-2.44,2441.406,-3167.229
65,0.11,-1.93,1.95,2446.289,-2903.294
66,0.78,0.02,-2.44,2460.937,-2111.487
67,0.35,-5.16,1.22,2460.937,-2111.487
68,-1.11,6.18,-2.92,2441.406,-3167.229
69,0.84,-1.99,2.01,2465.82,-1847.551
70,-2.88,0.88,-2.19,2456.055,-2375.422
71,-0.5,2.34,0.61,2456.055,-2375.422
72,-0.56,0.15,-1.22,2456.055,-2375.422
73,0.59,0.39,3.17,2446.289,-2903.294
74,-1.24,5.15,-1.77,2456.055,-2375.422
75,-0.02,-3.02,2.75,2460.937,-2111.487
76,-0.93,2.34,-1.7,2465.82,-1847.551
77,0.47,0.88,2.14,2441.406,-3167.229
78,-2.76,6.24,-0.18,2465.82,-1847.551
79,3.22,0.27,2.75,2446.289,-2903.294
80,-1.72,5.88,-0.85,2475.586,-1319.679
81,3.03,-5.89,1.65,2451.172,-2639.358
82,-1.6,6.12,0.19,2451.172,-2639.358
83,2.18,-4,-2.62,2431.641,-3695.101
84,-2.03,4.23,1.53,2451.172,-2639.358
85,4.31,-12.11,1.22,2441.406,-3167.229
86,-2.82,7.71,-1.1,2470.703,-1583.615
87,2.48,-3.76,-0.67,2451.172,-2639.358
88,-1.6,4.48,-0.18,2460.937,-2111.487
89,2.06,-5.77,-1.34,2446.289,-2903.294
90,-1.91,4.17,2.01,2451.172,-2639.358
91,1.81,-4.73,-2.31,2451.172,-2639.358
92,-3.19,5.09,-2.68,2485.352,-791.807
93,3.09,-5.71,1.34,2456.055,-2375.422
94,-1.42,2.65,-3.05,2475.586,-1319.679
95,3.76,-10.28,1.04,2446.289,-2903.294
96,-1.24,6.3,0.37,2480.469,-1055.743
97,3.83,-5.1,3.9,2446.289,-2903.294
98,-2.88,3.32,-1.28,2465.82,-1847.551
99,2.12,-6.26,0.43,2456.055,-2375.422
100,-0.44,4.41,-1.22,2470.703,-1583.615
101,1.02,-6.8,-0.49,2470.703,-1583.615
102,-0.26,7.95,4.94,2465.82,-1847.551
103,4.98,-6.44,3.05,2446.289,-2903.294
104,-1.48,2.46,-0.97,2460.937,-2111.487
105,3.83,-13.88,0.49,2431.641,-3695.101
106,-1.91,13.19,0.49,2465.82,-1847.551
107,1.08,-8.76,3.17,2460.937,-2111.487
108,0.11,2.52,3.3,2465.82,-1847.551
109,2.73,-1.99,0.73,2446.289,-2903.294
110,-1.66,1.73,-1.64,2460.937,-2111.487
111,1.2,-4.24,0.8,2446.289,-2903.294
