,x-axis,y-axis,z-axis,volatge,current
0,3.06,4.77,-0.32,2470.703,-1583.615
1,-2.86,-6.76,3.09,2407.227,-5014.78
2,-3.59,-2,-4.47,2441.406,-3167.229
3,0.25,9.28,-5.14,2402.344,-5278.716
4,0.31,8.42,4.37,2397.461,-5542.652
5,2.45,-6.45,6.08,2436.523,-3431.166
6,1.41,-13.1,-2.4,2426.758,-3959.037
7,-1.03,2.57,-0.87,2377.93,-6598.395
8,-2.25,-2.06,2.79,2431.641,-3695.101
9,1.23,-1.76,1.69,2416.992,-4486.909
10,0.07,5.07,-8.25,2490.234,-527.872
11,-3.47,-2.37,-6.18,2431.641,-3695.101
12,-0.18,4.95,-0.63,2431.641,-3695.101
13,2.51,-7.37,7.3,2397.461,-5542.652
14,0.43,-19.2,8.4,2446.289,-2903.294
15,0.43,-19.62,-0.45,2397.461,-5542.652
16,-5.42,0.07,-3.74,2426.758,-3959.037
17,-4.02,15.31,-1.79,2451.172,-2639.358
18,-0.42,20.56,-7.95,2421.875,-4222.973
19,4.7,2.57,-9.29,2353.516,-7918.074
20,-1.4,-10.11,0.96,2446.289,-2903.294
21,-4.14,-3.53,1.87,2412.109,-4750.845
22,1.65,-6.64,5.29,2441.406,-3167.229
23,-0.18,1.9,-4.53,2480.469,-1055.743
24,-3.65,1.11,-7.89,2456.055,-2375.422
25,0.62,9.89,-6.24,2470.703,-1583.615
26,0.8,19.34,-0.69,2426.758,-3959.037
27,3.91,-10.54,-2.28,2402.344,-5278.716
28,5.31,-14.32,3.88,2441.406,-3167.229
29,-2.07,-8.4,1.26,2480.469,-1055.743
30,-0.11,0.68,3.76,2451.172,-2639.358
31,2.45,0.68,3.76,2426.758,-3959.037
32,0.62,-1.94,3.58,2451.172,-2639.358
33,1.41,3.61,-8.62,2509.766,527.872
34,-2.86,8.79,-11.12,2426.758,-3959.037
35,-0.72,11.17,-2.64,2436.523,-3431.166
36,4.03,-8.83,3.09,2456.055,-2375.422
37,3.06,-15.29,2.91,2456.055,-2375.422
38,-1.15,-10.84,3.52,2392.578,-5806.588
39,-3.29,3.36,0.22,2485.352,-791.807
40,0.25,5.8,4.37,2416.992,-4486.909
41,1.47,-1.09,0.9,2460.937,-2111.487
42,3.42,-11.76,-5.2,2387.695,-6070.524
43,-2.19,-0.36,-2.09,2456.055,-2375.422
44,2.45,2.69,3.82,2426.758,-3959.037
45,3,-9.75,9.74,2402.344,-5278.716
46,2.32,-17.25,5.47,2436.523,-3431.166
47,-2.74,-3.16,-2.03,2451.172,-2639.358
48,-2.61,3.24,0.16,2436.523,-3431.166
49,-1.88,17.02,-2.52,2407.227,-5014.78
50,1.53,-3.34,-1.91,2382.812,-6334.459
51,1.35,-8.83,-0.69,2446.289,-2903.294
52,0.13,4.22,-1.85,2509.766,527.872
53,1.41,3.67,8.64,2392.578,-5806.588
54,4.52,-3.77,6.2,2529.297,1583.615
55,-0.97,-14.69,1.63,2465.82,-1847.551
56,-3.71,5.44,-3.74,2490.234,-527.872
57,-0.97,9.95,-4.1,2456.055,-2375.422
58,1.41,7.81,-0.69,2475.586,-1319.679
59,-0.24,-1.27,-0.08,2460.937,-2111.487
60,0.74,-4.99,-7.95,2436.523,-3431.166
61,2.57,1.66,-2.28,2524.414,1319.679
62,-1.27,1.96,3.94,2446.289,-2903.294
63,2.93,-6.64,6.81,2480.469,-1055.743
64,0.31,-3.16,4.55,2416.992,-4486.909
65,-4.38,-5.6,-1.18,2412.109,-4750.845
66,-1.33,25.07,-14.41,2368.164,-7126.267
67,-2.31,22.57,-6.18,2421.875,-4222.973
68,2.81,5.38,-6.06,2495.117,-263.936
69,4.09,-4.81,-4.65,2397.461,-5542.652
70,-2.68,2.63,-3.43,2465.82,-1847.551
71,-0.85,-9.93,7.85,2553.711,2903.294
72,-0.91,-15.42,8.88,2436.523,-3431.166
73,0.5,-14.93,4.07,2509.766,527.872
74,-4.02,-1.94,-5.26,2382.812,-6334.459
75,-0.18,14.09,-8.68,2485.352,-791.807
76,0.37,24.03,-3.56,2490.234,-527.872
77,3.73,0.74,-0.75,2431.641,-3695.101
78,0.5,-9.26,0.96,2358.398,-7654.139
79,0.31,-5.05,2.72,2397.461,-5542.652
80,-4.87,-1.82,2.36,2373.047,-6862.331
81,1.29,4.34,-1.67,2412.109,-4750.845
82,0.74,4.4,-8.01,2451.172,-2639.358
83,1.41,-6.21,-0.32,2373.047,-6862.331
84,-0.24,1.35,3.94,2509.766,527.872
85,0.86,-7.55,7.6,2373.047,-6862.331
86,-0.11,-11.82,4.98,2470.703,-1583.615
87,-0.48,-11.21,-0.14,2436.523,-3431.166
88,-2.68,-3.95,-2.58,2465.82,-1847.551
89,-3.53,15.62,0.77,2436.523,-3431.166
90,0.43,7.75,-2.7,2451.172,-2639.358
91,3.48,1.05,-1.6,2504.883,263.936
92,-1.94,-2.37,-0.32,2412.109,-4750.845
93,-1.58,1.96,-2.15,2397.461,-5542.652
94,-0.79,-0.3,1.44,2441.406,-3167.229
95,-0.91,-1.7,4.68,2470.703,-1583.615
96,-2.86,-7.43,-1.12,2373.047,-6862.331
97,-1.82,7.02,-9.41,2460.937,-2111.487
98,-1.52,13.79,-3.25,2377.93,-6598.395
99,3.67,-3.89,0.41,2436.523,-3431.166
100,2.63,-12.98,-2.64,2397.461,-5542.652
101,-3.71,-12.98,-3.86,2451.172,-2639.358
102,-6.21,6.29,-4.29,2436.523,-3431.166
103,2.14,-1.15,2.3,2490.234,-527.872
104,-0.72,6.78,4.13,2524.414,1319.679
105,-0.36,-1.94,-6.36,2470.703,-1583.615
106,-0.97,7.69,-3.56,2416.992,-4486.909
107,-1.4,4.4,0.65,2426.758,-3959.037
108,1.23,-8.89,1.63,2436.523,-3431.166
109,0.8,-15.72,1.44,2397.461,-5542.652
110,-3.96,-1.7,-1,2402.344,-5278.716
111,-2.98,5.8,-2.4,2441.406,-3167.229
112,4.21,0.44,-2.28,2426.758,-3959.037
113,2.45,0.44,1.63,2416.992,-4486.909
114,-0.72,-14.81,-0.93,2412.109,-4750.845
115,-2.19,0.5,-1.54,2431.641,-3695.101
116,1.41,6.53,-0.69,2451.172,-2639.358
117,-1.88,-3.59,2.36,2421.875,-4222.973
118,0.31,-10.36,-3.07,2412.109,-4750.845
119,0.31,1.78,-4.17,2441.406,-3167.229
120,-2.43,10.38,-3.25,2382.812,-6334.459
121,2.63,-3.4,-1.48,2392.578,-5806.588
122,-0.48,-10.78,0.35,2373.047,-6862.331
123,-1.27,-4.99,-0.08,2446.289,-2903.294
124,-1.7,3.42,-3.37,2392.578,-5806.588
125,-0.66,5.44,2.79,2392.578,-5806.588
126,0.98,-5.97,1.81,2402.344,-5278.716
127,3.06,-4.32,-4.23,2446.289,-2903.294
128,-2.55,4.64,-2.09,2402.344,-5278.716
129,-0.72,7.94,1.32,2470.703,-1583.615
130,3.3,2.39,1.75,2382.812,-6334.459
131,1.84,-4.56,2.05,2402.344,-5278.716
132,-0.91,-5.11,-0.81,2460.937,-2111.487
133,-1.15,3.61,-1.91,2412.109,-4750.845
134,-2.37,7.08,2.85,2353.516,-7918.074
135,1.78,-5.23,0.9,2426.758,-3959.037
136,4.82,-10.3,-0.57,2504.883,263.936
137,-1.27,8.18,-5.63,2426.758,-3959.037
138,-1.58,3.06,-1.42,2426.758,-3959.037
139,2.69,2.51,1.26,2446.289,-2903.294
140,1.35,-6.21,2.66,2426.758,-3959.037
141,-2.07,-8.04,-1.24,2475.586,-1319.679
142,0.8,-1.76,0.9,2441.406,-3167.229
143,-1.46,8.42,2.48,2387.695,-6070.524
144,-0.11,-2.61,0.77,2426.758,-3959.037
145,3.6,-7.98,-3.25,2446.289,-2903.294
146,-0.24,4.22,-0.87,2397.461,-5542.652
147,-1.76,5.19,0.41,2382.812,-6334.459
148,3.24,0.01,2.3,2377.93,-6598.395
149,0.31,-1.51,-1,2416.992,-4486.909
150,-3.41,-1.76,-3.25,2392.578,-5806.588
151,0.5,10.68,-3.31,2465.82,-1847.551
152,-1.64,8.67,2.6,2397.461,-5542.652
153,-0.18,-3.04,1.81,2421.875,-4222.973
154,4.58,-13.65,-0.45,2470.703,-1583.615
155,-2.8,1.11,-3.07,2407.227,-5014.78
156,0.01,1.17,4.43,2495.117,-263.936
157,3.6,-7,6.75,2343.75,-8445.947
158,3.18,40.38,14.43,2451.172,-2639.358
159,-2.55,-5.84,1.93,2426.758,-3959.037
160,-1.76,2.02,-0.93,2465.82,-1847.551
161,-2.49,10.19,2.18,2387.695,-6070.524
162,4.09,-8.4,2.66,2480.469,-1055.743
163,1.84,-13.22,-1.18,2412.109,-4750.845
164,-0.66,-0.36,-2.28,2431.641,-3695.101
165,-2.8,5.38,0.47,2441.406,-3167.229
166,4.28,4.52,0.96,2397.461,-5542.652
167,-0.18,-4.38,1.69,2485.352,-791.807
168,-3.71,-11.33,-0.2,2436.523,-3431.166
169,0.19,-1.7,-1.97,2485.352,-791.807
170,-1.09,9.34,1.44,2480.469,-1055.743
171,0.37,2.94,1.32,2431.641,-3695.101
172,1.84,-7.92,-1,2451.172,-2639.358
173,-1.46,1.9,-0.57,2451.172,-2639.358
174,-1.7,14.52,-0.02,2441.406,-3167.229
175,4.64,5.62,-0.69,2421.875,-4222.973
176,1.17,-3.83,-1.06,2387.695,-6070.524
177,-3.1,-3.22,0.59,2431.641,-3695.101
178,0.37,2.51,-1.91,2431.641,-3695.101
179,-0.97,11.05,2.91,2460.937,-2111.487
180,-0.05,0.62,2.72,2490.234,-527.872
181,1.53,-12.37,0.53,2451.172,-2639.358
182,-2,-2.37,-2.03,2431.641,-3695.101
183,-0.85,6.78,-1.06,2485.352,-791.807
184,4.76,5.38,-1.42,2451.172,-2639.358
185,1.1,1.41,1.38,2480.469,-1055.743
186,-2.37,-8.65,-0.26,2475.586,-1319.679
187,-1.64,0.38,-3.98,2387.695,-6070.524
188,-1.52,10.68,1.63,2465.82,-1847.551
189,2.45,0.07,-1.06,2446.289,-2903.294
190,1.9,-7.25,0.04,2412.109,-4750.845
191,-5.3,-6.15,0.53,2426.758,-3959.037
192,-1.03,0.99,-3.31,2416.992,-4486.909
193,-1.58,12.51,2.36,2456.055,-2375.422
194,-0.24,0.56,2.72,2421.875,-4222.973
195,4.46,-14.32,-1.3,2485.352,-791.807
196,-2.49,-2.43,0.41,2465.82,-1847.551
197,-1.46,4.22,-0.14,2456.055,-2375.422
198,1.9,6.23,-0.63,2500,0
199,2.81,-3.53,1.38,2416.992,-4486.909
200,-1.94,-14.08,-1.06,2495.117,-263.936
201,-1.21,0.25,-1.54,2407.227,-5014.78
202,-3.22,11.29,3.27,2446.289,-2903.294
203,0.68,-0.36,3.82,2460.937,-2111.487
204,4.28,-7,-0.08,2500,0
205,-3.9,-0.3,0.1,2373.047,-6862.331
206,-1.64,1.6,-5.51,2431.641,-3695.101
207,-0.6,9.4,1.02,2377.93,-6598.395
208,-1.21,-3.47,0.65,2470.703,-1583.615
209,2.87,-15.66,1.2,2485.352,-791.807
210,-1.76,0.13,-3.25,2426.758,-3959.037
211,-2,5.68,-0.08,2524.414,1319.679
212,3.54,5.62,-1.18,2407.227,-5014.78
213,-1.15,-1.45,0.96,2456.055,-2375.422
214,-2.74,-14.62,-0.26,2392.578,-5806.588
215,-1.09,0.01,-2.82,2416.992,-4486.909
216,-3.83,7.94,-0.14,2490.234,-527.872
217,5.31,3.67,0.77,2397.461,-5542.652
218,2.87,-1.15,-0.32,2426.758,-3959.037
219,-4.08,-5.66,-1.48,2460.937,-2111.487
220,-1.4,1.53,-3.13,2436.523,-3431.166
221,-2,11.9,3.09,2446.289,-2903.294
