x-axis,y-axis,z-axis,voltage,current,temp
0.34,8.2,4.15,5.12695,3.43117,23
-2.83,4.49,-4.08,5.11719,3.16723,23
3.51,-4.17,0.43,5.10742,2.90329,23
1.5,-3.99,0.13,5.10742,2.90329,23
-0.88,-0.15,2.63,5.08789,2.37542,23
1.31,0.83,0.92,5.06836,1.84755,23
-3.38,6.44,-9.08,5.11719,3.16723,23
-1.8,-1.06,-1.64,5.23437,6.33446,23
-0.39,0.95,2.63,5.13672,3.6951,23
-3.69,10.89,-0.91,5.10742,2.90329,23
-5.09,7.78,-4.02,5.14648,3.95904,23
-0.33,2.11,-11.7,5.09766,2.63936,23
-0.7,-5.94,3.11,5.11719,3.16723,23
3.14,-7.47,1.22,5.09766,2.63936,23
-3.26,11.92,-2.37,5.11719,3.16723,23
-0.39,2.96,3.05,5.10742,2.90329,23
5.09,-3.2,7.81,5.13672,3.6951,23
2.72,-5.88,-0.48,5.12695,3.43117,23
-0.03,3.02,-0.67,5.12695,3.43117,23
-1.06,13.63,-0.12,5.10742,2.90329,23
-6.06,15.16,-4.2,5.13672,3.6951,23
2.72,-4.72,3.66,5.12695,3.43117,23
4.48,-7.34,3.6,5.16602,4.48691,23
-2.53,-3.62,6.9,5.11719,3.16723,23
-6.61,7.41,-2.13,5.11719,3.16723,23
-4.78,11.86,-3.71,5.07812,2.11149,23
-0.03,-1.37,1.65,5.13672,3.6951,23
5.83,-5.45,11.65,5.08789,2.37542,23
0.58,-2.16,1.65,5.08789,2.37542,23
-2.59,6.31,-4.08,5.12695,3.43117,23
-5.27,8.57,-8.96,5.10742,2.90329,23
-5.76,12.53,-4.14,5.06836,1.84755,23
-3.5,9.42,-3.04,5.08789,2.37542,23
-0.33,4.36,-0.79,5.15625,4.22297,23
5.22,-9.9,13.24,5.18555,5.01478,23
-0.27,4.3,4.21,5.07812,2.11149,23
-2.28,8.27,-3.71,5.06836,1.84755,23
-3.02,5.28,-5.97,5.12695,3.43117,23
3.14,5.64,2.93,5.10742,2.90329,23
1.56,-1.8,-4.93,5.05859,1.58361,23
1.74,-3.08,3.66,5.13672,3.6951,23
1.74,-5.03,4.64,5.11719,3.16723,23
-0.27,5.83,1.77,5.07812,2.11149,23
-2.1,5.22,-5.85,5.12695,3.43117,23
-4.6,10.95,-2.13,5.13672,3.6951,23
-1.86,6.8,-1.34,5.09766,2.63936,23
