0,1,2,3,4,5
5.33,-9.50,5.00,5.08789,2.37542,34.00
-1.13,3.06,-7.38,5.11719,3.16723,34.00
-5.10,10.92,-3.85,5.11719,3.16723,34.00
7.59,-4.38,11.83,5.10742,2.90329,34.00
3.44,-2.31,3.65,5.03906,1.05574,34.00
-0.89,14.28,-10.31,5.11719,3.16723,34.00
1.73,-7.49,5.79,5.10742,2.90329,34.00
4.97,-10.42,2.74,5.11719,3.16723,34.00
-3.51,-1.15,-4.45,5.09766,2.63936,34.00
7.04,-11.58,5.18,5.10742,2.90329,34.00
1.49,-5.72,3.35,5.07812,2.11149,34.00
6.37,-3.04,2.31,5.11719,3.16723,34.00
2.53,5.31,6.64,5.11719,3.16723,34.00
0.51,-5.17,7.31,5.12695,3.43117,34.00
-2.17,-5.17,-3.60,5.13672,3.69510,34.00
-7.41,5.01,-10.80,5.09766,2.63936,34.00
4.42,-12.80,10.48,5.08789,2.37542,34.00
1.12,-0.36,1.03,5.05859,1.58361,34.00
2.83,1.17,-1.04,5.08789,2.37542,34.00
-5.10,22.08,-0.49,5.10742,2.90329,34.00
8.01,-13.34,7.50,5.08789,2.37542,34.00
-2.17,8.42,-7.02,5.11719,3.16723,34.00
-0.22,-0.05,-4.82,5.09766,2.63936,34.00
2.40,-1.64,8.29,5.13672,3.69510,34.00
0.21,9.46,-2.02,5.08789,2.37542,34.00
0.21,11.59,-3.24,5.06836,1.84755,34.00
-0.16,-4.08,0.55,5.12695,3.43117,34.00
1.92,-3.89,3.11,5.10742,2.90329,34.00
-3.81,3.67,-6.95,5.11719,3.16723,34.00
1.19,10.07,2.01,5.09766,2.63936,34.00
2.65,1.11,-0.19,5.08789,2.37542,34.00
1.06,6.47,1.52,5.10742,2.90329,34.00
-5.28,5.98,-8.17,5.13672,3.69510,34.00
3.56,0.13,3.05,5.12695,3.43117,34.00
-1.50,5.56,-5.25,5.15625,4.22297,34.00
1.06,-4.69,-0.55,5.10742,2.90329,34.00
4.84,-15.91,25.67,5.08789,2.37542,34.00
2.16,2.51,-3.24,5.08789,2.37542,34.00
2.65,4.46,2.62,5.13672,3.69510,34.00
-1.68,2.26,0.12,5.08789,2.37542,34.00
4.17,-8.04,4.08,5.06836,1.84755,34.00
-3.02,6.11,-8.60,5.10742,2.90329,34.00
0.45,-6.21,2.86,5.09766,2.63936,34.00
-1.01,-5.36,1.76,5.17578,4.75084,34.00
3.62,0.74,2.68,5.07812,2.11149,34.00
-0.34,9.34,-2.44,5.03906,1.05574,34.00
1.61,-15.30,-1.77,5.16602,4.48691,34.00
-2.72,8.30,0.55,5.11719,3.16723,34.00
-4.79,10.25,-6.71,5.08789,2.37542,34.00
4.60,-2.25,7.50,5.16602,4.48691,34.00
3.32,-2.98,2.56,5.11719,3.16723,34.00
-2.72,16.23,-2.56,5.10742,2.90329,34.00
-3.88,4.83,-4.94,5.14648,3.95904,34.00
1.00,3.00,-5.25,5.12695,3.43117,34.00
0.58,-4.56,-2.93,5.11719,3.16723,34.00
0.94,0.19,2.56,5.08789,2.37542,34.00
1.06,-4.87,5.06,5.05859,1.58361,34.00
3.14,5.13,2.44,5.09766,2.63936,34.00
-1.86,9.40,-2.69,5.11719,3.16723,34.00
3.50,-6.21,7.62,5.14648,3.95904,34.00
-0.52,-8.10,-8.72,5.10742,2.90329,34.00
0.27,1.84,-0.06,5.13672,3.69510,34.00
2.71,3.61,2.44,5.09766,2.63936,34.00
1.98,-1.33,-1.16,5.08789,2.37542,34.00
-3.81,11.29,-12.08,5.07812,2.11149,34.00
-0.16,-0.11,-0.80,5.12695,3.43117,34.00
0.15,-1.58,0.97,5.09766,2.63936,34.00
-4.67,6.47,-0.67,5.10742,2.90329,34.00
6.19,-5.54,2.37,5.09766,2.63936,34.00
1.49,5.50,5.61,5.12695,3.43117,34.00
-6.99,10.80,-13.78,5.10742,2.90329,34.00
-2.84,10.07,-8.54,5.08789,2.37542,34.00
6.12,-7.67,5.79,5.10742,2.90329,34.00
-3.51,11.41,-6.04,5.14648,3.95904,34.00
7.89,-18.22,10.67,5.07812,2.11149,34.00
-5.40,12.75,-10.43,5.06836,1.84755,34.00
-1.68,-0.54,-6.53,5.04883,1.31968,34.00
-5.64,7.39,-16.10,5.11719,3.16723,34.00
4.84,-3.59,5.73,5.07812,2.11149,34.00
-0.40,5.74,-0.92,5.08789,2.37542,34.00
3.14,-8.95,7.44,5.10742,2.90329,34.00
-2.11,5.74,-4.64,5.10742,2.90329,34.00
-8.39,13.85,-17.87,5.10742,2.90329,34.00
-5.77,-2.31,-5.55,5.08789,2.37542,34.00
-0.22,-12.06,-7.08,5.10742,2.90329,34.00
-2.17,10.13,-1.41,5.09766,2.63936,34.00
-0.46,-1.09,-1.77,5.06836,1.84755,34.00
5.33,-3.95,7.01,5.08789,2.37542,34.00
-4.91,3.24,-6.71,5.11719,3.16723,34.00
-2.41,4.58,-2.99,5.11719,3.16723,34.00
-1.68,-7.25,-2.02,5.11719,3.16723,34.00
2.16,10.44,-3.36,5.12695,3.43117,34.00
-5.10,9.70,-1.41,5.10742,2.90329,34.00
-2.23,6.65,-0.61,5.06836,1.84755,34.00
3.69,-7.55,3.84,5.14648,3.95904,34.00
-1.38,10.13,-7.93,5.12695,3.43117,34.00
-4.30,5.98,-8.60,5.10742,2.90329,34.00
-5.52,11.05,-6.95,5.09766,2.63936,34.00
4.42,-5.11,0.42,5.14648,3.95904,34.00
-4.06,6.53,-7.02,5.20508,5.54265,34.00
2.53,-6.88,5.97,5.13672,3.69510,34.00
-1.86,12.14,-4.27,5.11719,3.16723,34.00
-2.72,8.30,-3.66,5.05859,1.58361,34.00
-5.70,8.30,-5.86,5.09766,2.63936,34.00
-1.99,-3.89,-4.94,5.08789,2.37542,34.00
-4.97,8.91,-5.00,5.07812,2.11149,34.00
4.30,-8.71,10.00,5.08789,2.37542,34.00
4.36,-6.21,4.69,5.07812,2.11149,34.00
-0.34,-5.36,2.62,5.07812,2.11149,34.00
-5.16,4.15,-2.81,5.07812,2.11149,34.00
1.92,-13.04,3.53,5.10742,2.90329,34.00
2.28,3.73,-0.06,5.16602,4.48691,34.00
3.75,-5.36,0.73,5.10742,2.90329,34.00
3.69,-4.38,3.11,5.12695,3.43117,34.00
-4.00,4.40,-3.30,5.11719,3.16723,34.00
2.28,-11.64,3.72,5.10742,2.90329,34.00
8.20,-18.89,17.19,5.10742,2.90329,34.00
3.14,-11.64,3.65,5.09766,2.63936,34.00
-3.45,8.30,-9.52,5.10742,2.90329,34.00
7.59,-5.30,3.96,5.10742,2.90329,34.00
-1.62,6.96,-6.28,5.08789,2.37542,34.00
1.73,-7.49,-0.80,5.12695,3.43117,34.00
4.23,-13.47,9.26,5.12695,3.43117,34.00
2.22,-8.89,2.13,5.07812,2.11149,34.00
-1.62,-0.85,-6.53,5.12695,3.43117,34.00
-4.06,5.01,-7.32,5.20508,5.54265,34.00
-0.34,-2.43,3.72,5.07812,2.11149,34.00
-1.99,5.50,-0.49,5.09766,2.63936,34.00
2.77,-10.97,2.31,5.05859,1.58361,34.00
2.89,-8.35,12.92,5.07812,2.11149,34.00
3.99,-19.63,4.33,5.10742,2.90329,34.00
-3.57,4.89,-9.58,5.08789,2.37542,34.00
3.50,2.39,-2.44,5.11719,3.16723,34.00
-3.63,11.84,-2.81,5.09766,2.63936,34.00
0.39,-3.65,1.28,5.12695,3.43117,34.00
3.75,-4.56,1.76,5.15625,4.22297,34.00
7.95,-17.25,16.34,5.02930,0.79181,34.00
-3.02,1.96,-1.59,5.05859,1.58361,34.00
1.00,-3.65,-2.26,5.07812,2.11149,34.00
