0
"['', '4.93164', '-1.84755', '24.00']"
"['-10.24', '-11.76', '1.31', '4.89258', '-2.90329', '24.00']"
['.00']
"['-0.72', '0.62', '0.94', '4.93164', '-1.84755', '24.00']"
"['0.92', '5.19', '-0.28', '4.93164', '-1.84755', '24.00']"
"['-10.24', '-11.76', '1.31', '4.89258', '-2.90329', '24.00']"
"['-3.02', '-4.00', '0.96', '4.87305', '-3.43117', '24.00']"
"['-3.75', '-3.39', '6.57', '4.89258', '-2.90329', '24.00']"
"['5.52', '2.89', '-1.36', '4.80469', '-5.27872', '24.00']"
"['4.18', '6.06', '-1.48', '4.82422', '-4.75084', '24.00']"
"['0.95', '6.36', '4.37', '4.85352', '-3.95904', '24.00']"
"['-4.30', '-6.56', '2.42', '4.84375', '-4.22297', '24.00']"
"['-4.24', '-8.21', '-1.30', '4.86328', '-3.69510', '24.00']"
"['3.38', '2.70', '-0.57', '4.88281', '-3.16723', '24.00']"
"['3.14', '2.09', '-0.45', '4.87305', '-3.43117', '24.00']"
"['-1.86', '3.44', '2.36', '4.86328', '-3.69510', '24.00']"
"['-1.80', '-3.58', '1.32', '4.83398', '-4.48691', '24.00']"
"['-1.13', '-11.56', '2.12', '4.87305', '-3.43117', '24.00']"
"['1.07', '4.23', '1.69', '4.89258', '-2.90329', '24.00']"
"['-0.15', '4.84', '-2.34', '4.86328', '-3.69510', '24.00']"
"['-6.25', '-8.94', '5.71', '4.86328', '-3.69510', '24.00']"
"['-4.05', '-10.83', '-0.26', '4.85352', '-3.95904', '24.00']"
"['4.48', '5.02', '-2.52', '4.85352', '-3.95904', '24.00']"
"['-1.31', '2.15', '-4.10', '4.84375', '-4.22297', '24.00']"
"['-6.31', '-7.66', '-0.81', '4.87305', '-3.43117', '24.00']"
"['2.77', '-4.92', '0.04', '4.83398', '-4.48691', '24.00']"
"['8.26', '10.57', '-1.66', '4.86328', '-3.69510', '24.00']"
"['-2.53', '-5.04', '0.77', '4.86328', '-3.69510', '24.00']"
"['3.93', '-0.04', '0.23', '4.87305', '-3.43117', '24.00']"
"['1.68', '5.14', '-2.27', '4.83398', '-4.48691', '24.00']"
"['-1.25', '-3.21', '4.92', '4.87305', '-3.43117', '24.00']"
"['3.69', '3.25', '-2.88', '4.83398', '-4.48691', '24.00']"
"['-1.31', '-4.49', '2.18', '4.84375', '-4.22297', '24.00']"
"['-0.34', '-4.55', '0.47', '4.85352', '-3.95904', '24.00']"
"['-1.68', '2.83', '-1.79', '4.86328', '-3.69510', '24.00']"
"['-5.88', '-10.04', '2.05', '4.90234', '-2.63936', '24.00']"
"['1.25', '3.44', '1.38', '4.84375', '-4.22297', '24.00']"
"['-3.38', '-4.31', '1.20', '4.84375', '-4.22297', '24.00']"
"['4.30', '5.08', '-3.19', '4.83398', '-4.48691', '24.00']"
"['-5.70', '-8.76', '0.16', '4.84375', '-4.22297', '24.00']"
"['3.69', '-0.89', '-0.69', '4.87305', '-3.43117', '24.00']"
"['1.62', '5.08', '-0.81', '4.86328', '-3.69510', '24.00']"
"['-5.64', '-9.25', '2.60', '4.84375', '-4.22297', '24.00']"
"['4.73', '8.44', '-2.27', '4.87305', '-3.43117', '24.00']"
"['-5.27', '-1.02', '-0.20', '4.84375', '-4.22297', '24.00']"
"['-6.25', '-12.24', '1.81', '4.86328', '-3.69510', '24.00']"
"['4.30', '5.75', '-1.97', '4.85352', '-3.95904', '24.00']"
"['-2.59', '-3.39', '1.57', '4.86328', '-3.69510', '24.00']"
"['4.48', '1.61', '1.38', '4.87305', '-3.43117', '24.00']"
"['-4.85', '-3.82', '-0.14', '4.79492', '-5.54265', '24.00']"
"['-4.66', '-6.75', '3.27', '4.85352', '-3.95904', '24.00']"
"['7.84', '11.79', '0.41', '4.85352', '-3.95904', '24.00']"
"['-4.66', '-0.53', '3.46', '4.85352', '-3.95904', '24.00']"
"['-3.93', '-6.87', '0.59', '4.88281', '-3.16723', '24.00']"
"['3.14', '5.39', '-3.25', '4.83398', '-4.48691', '24.00']"
"['0.88', '6.97', '4.07', '4.85352', '-3.95904', '24.00']"
"['-2.35', '-2.17', '3.34', '4.86328', '-3.69510', '24.00']"
"['3.51', '5.57', '-0.08', '4.89258', '-2.90329', '24.00']"
"['-5.03', '-1.08', '6.32', '4.88281', '-3.16723', '24.00']"
"['-5.21', '-6.50', '0.04', '4.88281', '-3.16723', '24.00']"
"['3.14', '1.12', '0.16', '4.86328', '-3.69510', '24.00']"
"['7.53', '16.42', '0.29', '4.82422', '-4.75084', '24.00']"
"['-1.62', '-4.06', '3.21', '4.84375', '-4.22297', '24.00']"
"['4.48', '1.79', '-0.63', '4.88281', '-3.16723', '24.00']"
"['-1.80', '2.64', '1.51', '4.86328', '-3.69510', '24.00']"
"['-3.26', '-3.82', '-2.34', '4.89258', '-2.90329', '24.00']"
"['2.29', '-0.71', '-0.02', '4.85352', '-3.95904', '24.00']"
"['7.84', '11.06', '0.96', '4.84375', '-4.22297', '24.00']"
"['-5.40', '-3.70', '0.84', '4.87305', '-3.43117', '24.00']"
"['-4.66', '-8.70', '-0.38', '4.86328', '-3.69510', '24.00']"
"['2.84', '3.92', '-1.73', '4.84375', '-4.22297', '24.00']"
"['-3.63', '-0.65', '0.16', '4.88281', '-3.16723', '24.00']"
"['-3.69', '-8.52', '-1.18', '4.83398', '-4.48691', '24.00']"
"['4.66', '10.02', '0.04', '4.87305', '-3.43117', '24.00']"
"['-0.76', '-2.97', '-1.97', '4.84375', '-4.22297', '24.00']"
"['-0.15', '-6.75', '-1.24', '4.86328', '-3.69510', '24.00']"
"['4.12', '6.55', '-0.08', '4.87305', '-3.43117', '24.00']"
"['-5.09', '-5.89', '7.05', '4.90234', '-2.63936', '24.00']"
"['-3.81', '-7.60', '-0.38', '4.87305', '-3.43117', '24.00']"
"['5.03', '10.51', '0.10', '4.86328', '-3.69510', '24.00']"
"['-0.15', '2.52', '6.08', '4.85352', '-3.95904', '24.00']"
"['0.03', '-2.91', '0.65', '4.84375', '-4.22297', '24.00']"
"['4.12', '4.72', '-1.60', '4.90234', '-2.63936', '24.00']"
"['-2.29', '1.18', '3.27', '4.87305', '-3.43117', '24.00']"
"['-2.90', '-3.64', '4.07', '4.85352', '-3.95904', '24.00']"
"['1.25', '-4.86', '-1.36', '4.88281', '-3.16723', '24.00']"
"['-1.19', '-0.28', '-1.60', '4.86328', '-3.69510', '24.00']"
"['-1.19', '2.34', '-2.52', '4.83398', '-4.48691', '24.00']"
"['-2.65', '-5.95', '2.12', '4.84375', '-4.22297', '24.00']"
"['1.13', '-1.69', '-0.57', '4.85352', '-3.95904', '24.00']"
"['9.85', '12.58', '-1.36', '4.91211', '-2.37542', '24.00']"
"['1.37', '3.92', '1.63', '4.88281', '-3.16723', '24.00']"
"['-1.86', '-5.04', '3.09', '4.85352', '-3.95904', '24.00']"
"['3.75', '0.39', '1.51', '4.84375', '-4.22297', '24.00']"
"['4.42', '5.26', '-3.01', '4.84375', '-4.22297', '24.00']"
"['-4.36', '-5.89', '-0.14', '4.83398', '-4.48691', '24.00']"
"['4.97', '6.67', '-0.26', '4.87305', '-3.43117', '24.00']"
"['0.70', '4.59', '3.64', '4.87305', '-3.43117', '24.00']"
"['-4.85', '-6.63', '3.27', '4.89258', '-2.90329', '24.00']"
"['-3.87', '-5.83', '-2.15', '4.86328', '-3.69510', '24.00']"
"['5.21', '8.56', '-0.63', '4.84375', '-4.22297', '24.00']"
"['-1.19', '-2.78', '1.20', '4.86328', '-3.69510', '24.00']"
"['5.58', '3.07', '0.96', '4.86328', '-3.69510', '24.00']"
"['9.42', '11.00', '3.64', '4.88281', '-3.16723', '24.00']"
"['-4.54', '-5.53', '0.23', '4.83398', '-4.48691', '24.00']"
"['0.27', '-2.72', '-3.13', '4.89258', '-2.90329', '24.00']"
"['4.30', '3.44', '-2.76', '4.87305', '-3.43117', '24.00']"
"['-3.63', '-5.47', '1.45', '4.81445', '-5.01478', '24.00']"
"['5.58', '7.15', '1.81', '4.89258', '-2.90329', '24.00']"
"['5.15', '9.47', '-1.73', '4.86328', '-3.69510', '24.00']"
"['-3.20', '-4.31', '5.90', '4.83398', '-4.48691', '24.00']"
"['6.55', '8.68', '-0.99', '4.87305', '-3.43117', '24.00']"
"['-4.73', '-2.17', '-6.12', '4.86328', '-3.69510', '24.00']"
"['4.73', '1.42', '0.35', '4.91211', '-2.37542', '24.00']"
"['-0.09', '2.28', '1.02', '4.81445', '-5.01478', '24.00']"
"['3.26', '-2.36', '-3.55', '4.87305', '-3.43117', '24.00']"
"['5.15', '6.73', '0.90', '4.86328', '-3.69510', '24.00']"
"['-3.38', '-6.38', '4.31', '4.85352', '-3.95904', '24.00']"
