0,1,2,3,4,5
63-11.49,2.99,-2.38,5.53711,14.51647,40
3.57,7.8,4.14,4.9707,-0.79181,40
-1.49,-1.34,-0.49,4.86328,-3.6951,40
-2.77,7.93,-1.59,4.79492,-5.54265,40
-1.98,7.44,2.07,4.98047,-0.52787,40
4,-2.38,-2.2,4.96094,-1.05574,40
-1.55,2.8,-2.87,4.73633,-7.12627,40
1.13,8.54,3.53,4.82422,-4.75084,40
-4.17,-3.9,-2.5,4.99023,-0.26394,40
-10.15,-2.01,-4.33,4.94141,-1.58361,40
-1.92,-1.34,2.13,4.86328,-3.6951,40
10.89,-7.93,11.4,4.86328,-3.6951,40
-6.79,2.68,0.24,4.92187,-2.11149,40
2.35,9.94,5.73,4.94141,-1.58361,40
-2.46,7.86,-11.96,4.87305,-3.43117,40
4.67,-1.83,0.91,4.87305,-3.43117,40
-1.85,4.45,-0.92,4.88281,-3.16723,40
-1.06,-3.72,4.69,4.93164,-1.84755,40
0.1,5.43,-1.53,4.92187,-2.11149,40
-1.25,6.65,3.23,4.87305,-3.43117,40
-0.03,-13.35,7.98,4.82422,-4.75084,39
-0.15,-9.76,-2.81,4.91211,-2.37542,39
0.58,3.47,0.36,4.99023,-0.26394,39
4.85,-5.73,0.85,4.86328,-3.6951,39
-0.39,4.21,-5.25,4.81445,-5.01478,39
6.01,0.67,2.01,5.01953,0.52787,39
9.55,-5.12,-0.68,4.94141,-1.58361,39
-10.45,6.28,-1.47,4.84375,-4.22297,39
2.17,-0.43,-0.98,4.82422,-4.75084,39
-3.26,-5.06,5.12,4.93164,-1.84755,39
-1.92,-0.43,-3.18,4.93164,-1.84755,39
-4.17,5.67,-4.03,4.95117,-1.31968,39
5.34,7.38,7.43,4.88281,-3.16723,39
-6.61,-5.18,-4.7,4.78516,-5.80659,39
0.71,7.07,-0.37,5,0,39
-1.12,-9.88,8.23,4.99023,-0.26394,39
-4.42,4.02,-0.92,4.74609,-6.86233,39
1.07,2.62,5.42,4.83398,-4.48691,39
2.78,-14.45,6.15,4.91211,-2.37542,39
-4.9,11.1,-4.33,4.91211,-2.37542,39
7.6,-8.42,5.12,4.88281,-3.16723,39
4.18,-8.96,-1.35,4.84375,-4.22297,39
0.16,2.13,-3.24,4.79492,-5.54265,39
4,-0.43,2.68,4.92187,-2.11149,39
-1.06,-5.06,-4.7,4.96094,-1.05574,39
3.21,10.3,3.17,4.75586,-6.5984,39
4.55,-10.73,-4.94,4.80469,-5.27872,39
-3.01,5.85,-2.63,4.93164,-1.84755,39
10.95,4.94,4.26,4.95117,-1.31968,39
4.97,2.44,-2.87,4.85352,-3.95904,39
-0.09,7.07,-6.35,4.83398,-4.48691,39
4.73,-7.99,2.56,4.81445,-5.01478,39
-6.12,7.01,-3.66,4.91211,-2.37542,39
6.44,1.34,0.67,4.98047,-0.52787,39
5.4,-7.68,3.96,4.77539,-6.07052,39
-0.7,-1.83,7.8,4.84375,-4.22297,39
6.01,-5.98,-1.47,4.9707,-0.79181,39
-2.53,7.5,0.36,4.99023,-0.26394,39
2.41,-7.5,-0.43,4.82422,-4.75084,39
-2.46,-1.34,-2.69,4.84375,-4.22297,39
0.16,-11.53,8.04,4.82422,-4.75084,39
-2.77,0.06,-6.83,4.93164,-1.84755,39
3.51,4.94,3.47,4.96094,-1.05574,39
-4.9,-7.68,-12.2,4.79492,-5.54265,39
-1.98,1.4,-4.27,4.81445,-5.01478,39
4.61,0.3,0.79,5.03906,1.05574,39
-9.6,2.56,-9.94,4.9707,-0.79181,38
0.28,-0.06,10.06,4.86328,-3.6951,38
1.38,-13.29,-5.74,4.83398,-4.48691,38
-16.49,-1.4,-3.91,4.84375,-4.22297,38
5.95,8.11,5,4.92187,-2.11149,38
0.1,-3.96,1.03,4.98047,-0.52787,38
4,-4.7,5.54,4.79492,-5.54265,38
5.34,2.38,-1.96,4.80469,-5.27872,38
5.28,-3.78,-5,4.98047,-0.52787,38
5.71,10.12,-2.5,4.93164,-1.84755,38
3.02,0.73,2.62,4.85352,-3.95904,38
0.22,-5.85,-4.03,4.83398,-4.48691,38
1.99,16.1,-5.19,4.80469,-5.27872,38
-1.79,-6.77,-3.66,4.91211,-2.37542,38
0.65,2.68,-2.75,4.94141,-1.58361,38
9.43,1.28,2.74,4.77539,-6.07052,38
-3.93,-9.57,-3.79,4.82422,-4.75084,38
-0.7,5,2.37,4.94141,-1.58361,38
4.61,-10.73,2.31,4.94141,-1.58361,38
-4.29,3.35,0.73,5,0,38
6.56,5.55,0.36,4.88281,-3.16723,38
5.34,-12.38,-2.02,4.80469,-5.27872,38
-4.66,8.6,-3.54,5.01953,0.52787,38
3.57,-10.06,-0.13,4.93164,-1.84755,38
-0.64,-7.07,-2.81,4.84375,-4.22297,38
-1.98,5.85,0.85,4.89258,-2.90329,38
7.66,-1.59,4.45,4.82422,-4.75084,38
2.9,-2.87,-3.18,4.90234,-2.63936,38
-1.92,5.49,3.35,5,0,38
2.6,-12.68,-0.31,4.7168,-7.65414,38
-4.23,2.32,1.7,4.85352,-3.95904,38
-2.65,0.12,3.71,4.95117,-1.31968,38
2.96,-3.72,-0.86,4.92187,-2.11149,38
-3.87,3.54,-5.13,4.98047,-0.52787,38
0.16,-10.85,5.79,4.87305,-3.43117,38
-8.87,6.16,-4.58,4.79492,-5.54265,38
4.55,9.51,3.23,5.04883,1.31968,38
-6.55,1.58,-12.2,4.96094,-1.05574,38
-1.61,0.3,-2.02,4.85352,-3.95904,38
4.67,-8.17,4.02,4.86328,-3.6951,38
-5.15,4.82,-1.59,4.78516,-5.80659,38
1.19,6.1,1.28,4.94141,-1.58361,38
1.19,-6.89,-1.77,4.98047,-0.52787,38
2.11,-2.07,-1.77,4.72656,-7.3902,38
5.52,10.49,-3.97,4.80469,-5.27872,38
-3.68,-4.27,-3.6,4.94141,-1.58361,38
1.19,7.19,3.29,4.9707,-0.79181,38
2.41,-6.83,-5.8,5,0,38
-2.89,2.86,-2.38,4.83398,-4.48691,38
3.57,15.43,6.58,4.82422,-4.75084,38
0.16,-7.07,-7.26,4.9707,-0.79181,38
-0.33,11.34,1.95,4.99023,-0.26394,38
-5.76,-8.35,9.08,4.94141,-1.58361,38
-1.37,7.62,-2.75,4.85352,-3.95904,38
5.95,-2.62,1.03,4.81445,-5.01478,38
-10.64,-3.96,-7.08,5.06836,1.84755,38
5.34,6.77,4.93,4.99023,-0.26394,38
4.43,-2.2,-5.37,4.86328,-3.6951,38
1.44,2.32,-6.04,4.85352,-3.95904,38
2.29,-11.77,7.56,4.83398,-4.48691,38
-3.87,-3.66,-3.54,4.92187,-2.11149,38
4.85,10.73,-1.35,4.98047,-0.52787,38
-0.33,-6.53,-3.48,4.70703,-7.91807,38
-2.04,-1.83,-0.37,4.83398,-4.48691,37
1.01,5.61,-2.44,4.95117,-1.31968,37
-5.09,-0.61,-5.55,4.98047,-0.52787,37
-1.85,8.78,0.97,5.03906,1.05574,37
-1.61,-4.09,-4.82,4.73633,-7.12627,37
-2.4,2.62,-6.04,4.82422,-4.75084,37
4.18,-6.83,1.03,4.92187,-2.11149,37
3.08,3.66,-7.2,4.93164,-1.84755,37
-4.17,-0.18,4.63,5.01953,0.52787,37
0.1,5.91,0.36,4.88281,-3.16723,37
-1.55,-0.73,-4.46,4.79492,-5.54265,37
4.91,1.89,-3.36,4.96094,-1.05574,37
1.44,-9.15,-5.61,4.94141,-1.58361,37
0.04,3.41,-4.88,4.94141,-1.58361,37
-7.77,-8.72,-2.08,4.85352,-3.95904,37
-3.68,-3.48,-3.79,4.81445,-5.01478,37
0.1,5.97,1.4,5,0,37
-0.51,-8.78,6.15,4.96094,-1.05574,37
-0.03,4.39,-4.27,4.90234,-2.63936,37
3.51,-3.66,4.45,4.86328,-3.6951,37
-7.95,4.45,-5.61,4.81445,-5.01478,37
6.5,-6.65,1.46,5,0,37
2.78,-9.94,-5.37,4.95117,-1.31968,37
3.33,2.68,4.08,4.90234,-2.63936,37
1.68,-1.65,0.54,4.88281,-3.16723,37
-1.61,6.04,-1.96,4.78516,-5.80659,37
5.1,4.45,-3.18,5.01953,0.52787,37
-12.53,6.34,-1.47,4.95117,-1.31968,37
-0.15,19.33,4.26,4.87305,-3.43117,37
4.36,7.19,-0.49,4.85352,-3.95904,37
-3.14,1.34,-1.53,4.78516,-5.80659,37
6.32,3.29,3.35,4.96094,-1.05574,37
-5.76,-2.07,-4.33,4.96094,-1.05574,37
-2.34,6.04,1.28,4.87305,-3.43117,37
0.71,-9.7,1.15,4.84375,-4.22297,37
8.82,5.85,-0.25,4.81445,-5.01478,37
0.89,-6.65,0.54,4.91211,-2.37542,37
-4.23,2.5,-3.54,4.95117,-1.31968,37
2.66,-1.28,13.41,4.79492,-5.54265,37
-1.25,4.15,-5,4.83398,-4.48691,37
-0.88,4.63,-5.55,4.86328,-3.6951,37
8.51,5.06,8.53,4.92187,-2.11149,37
-5.15,-7.32,-2.81,4.95117,-1.31968,37
1.32,5,0.73,4.78516,-5.80659,37
6.93,-7.99,5.3,4.87305,-3.43117,37
-8.75,-14.27,1.7,4.94141,-1.58361,37
3.21,4.21,4.75,4.93164,-1.84755,36
10.4,-9.76,-1.96,4.96094,-1.05574,36
0.34,11.1,7.62,4.83398,-4.48691,36
0.46,-3.78,-0.55,4.81445,-5.01478,36
1.07,4.02,-0.07,4.89258,-2.90329,36
5.83,5.79,2.01,4.95117,-1.31968,36
2.54,-6.71,-3.24,4.95117,-1.31968,36
-1.06,6.89,-1.65,4.85352,-3.95904,36
-2.89,-0.98,2.68,4.85352,-3.95904,36
-7.04,2.8,-5.19,4.93164,-1.84755,36
-0.45,7.13,3.04,4.95117,-1.31968,36
11.8,-11.95,10.6,4.95117,-1.31968,36
2.23,-7.93,-3.66,4.84375,-4.22297,36
4.3,-5.92,3.65,4.82422,-4.75084,36
2.41,-8.84,6.64,5,0,36
1.01,2.8,3.78,4.94141,-1.58361,36
3.08,-6.22,2.37,4.95117,-1.31968,36
1.8,3.78,-6.47,4.87305,-3.43117,36
6.8,0.49,3.41,4.81445,-5.01478,36
1.8,-5.25,-2.08,4.9707,-0.79181,36
5.77,-1.1,6.21,4.98047,-0.52787,36
-3.5,-9.39,5.24,4.94141,-1.58361,36
-3.68,7.32,-6.71,4.86328,-3.6951,36
3.39,-1.77,8.53,4.83398,-4.48691,36
-5.7,-6.1,-3.85,4.93164,-1.84755,36
-1.43,5.49,0.73,4.95117,-1.31968,36
11.8,-1.34,4.26,4.99023,-0.26394,36
-5.51,14.08,-8.36,4.85352,-3.95904,36
5.77,3.11,1.95,4.83398,-4.48691,36
-4.11,-2.62,3.35,4.93164,-1.84755,36
3.33,-6.04,4.14,4.96094,-1.05574,36
0.46,-0.06,-1.35,4.99023,-0.26394,36
-5.15,4.82,2.19,4.81445,-5.01478,36
1.5,-11.59,-0.92,4.80469,-5.27872,36
-1.18,-4.39,-2.93,4.91211,-2.37542,36
3.08,3.29,-7.26,4.92187,-2.11149,36
0.34,2.07,1.15,4.98047,-0.52787,36
4.24,2.62,4.14,4.75586,-6.5984,36
4.3,-2.38,-10.37,4.83398,-4.48691,36
-5.09,8.9,4.51,4.95117,-1.31968,36
1.38,-2.75,-3.54,4.89258,-2.90329,36
0.65,-0.12,3.35,4.98047,-0.52787,36
-0.76,-2.32,2.5,4.77539,-6.07052,36
-3.14,-4.33,-1.29,4.81445,-5.01478,36
3.21,6.22,7.98,4.93164,-1.84755,36
3.82,-1.71,-4.7,4.90234,-2.63936,36
-2.34,7.93,3.71,4.96094,-1.05574,36
-4.84,-6.46,0.73,4.77539,-6.07052,36
1.01,10.49,-2.87,4.81445,-5.01478,36
6.38,-2.87,3.84,4.90234,-2.63936,36
-3.38,-4.39,-7.44,4.91211,-2.37542,36
4.49,1.1,-2.57,4.95117,-1.31968,36
-5.09,-2.56,-2.93,4.74609,-6.86233,36
2.23,1.95,4.81,4.82422,-4.75084,36
1.62,-11.65,1.52,4.93164,-1.84755,36
-0.03,1.28,3.84,4.93164,-1.84755,36
4,-5.67,0.6,4.9707,-0.79181,36
-3.14,12.07,0.91,4.76562,-6.33446,36
7.96,5,-5.68,4.82422,-4.75084,36
-1.18,7.07,-5.13,4.90234,-2.63936,36
4.43,-0.49,-2.44,4.92187,-2.11149,36
-0.76,5.91,-2.32,4.95117,-1.31968,36
3.02,1.89,4.75,4.75586,-6.5984,36
-7.71,0.18,-2.75,4.84375,-4.22297,36
-4.23,0.61,6.82,4.91211,-2.37542,36
2.96,-9.88,-4.27,4.89258,-2.90329,36
8.57,-2.26,7.86,5.01953,0.52787,36
-0.09,-8.78,-8.97,4.72656,-7.3902,36
1.62,0.91,2.25,4.84375,-4.22297,36
6.38,-0.85,-5.43,4.89258,-2.90329,35
-4.29,3.05,2.31,4.95117,-1.31968,35
3.75,-6.34,-5.07,4.95117,-1.31968,35
0.52,-4.7,5.97,4.85352,-3.95904,35
-0.39,3.05,-2.81,4.83398,-4.48691,35
-2.59,1.04,-2.63,4.79492,-5.54265,35
0.46,1.58,2.43,5.03906,1.05574,35
2.78,-2.32,-4.94,4.94141,-1.58361,35
-4.05,4.27,0.36,4.91211,-2.37542,35
-4.35,-3.48,0.12,4.83398,-4.48691,35
1.93,-1.1,-2.08,4.81445,-5.01478,35
2.72,-5.49,2.25,4.98047,-0.52787,35
-2.1,-0.43,-6.41,4.93164,-1.84755,35
-0.21,4.27,1.7,4.9707,-0.79181,35
3.51,-1.77,-5.98,4.84375,-4.22297,35
-0.15,-0.18,-3.48,4.81445,-5.01478,35
2.84,-2.07,5.06,4.93164,-1.84755,35
-2.46,12.93,-3.66,4.92187,-2.11149,35
7.47,0.61,4.26,4.96094,-1.05574,35
2.05,-7.01,1.09,4.82422,-4.75084,35
10.1,9.02,5.91,4.83398,-4.48691,35
-3.81,-3.23,-3.6,4.78516,-5.80659,35
-7.04,12.99,2.31,5.01953,0.52787,35
1.25,-7.87,-1.22,4.94141,-1.58361,35
1.56,6.04,-2.44,4.85352,-3.95904,35
-4.35,-3.96,1.34,4.86328,-3.6951,35
-6.18,-9.57,-4.7,4.78516,-5.80659,35
0.58,2.74,0.3,5.05859,1.58361,35
