0,1,2,3,4,5
-4.29,-8.61,0.55,5.97656,26.39358,61.00
1.07,7.36,-6.95,4.93164,-1.84755,61.00
3.09,4.62,-1.77,4.18945,-21.90667,61.00
-5.63,-9.53,2.26,4.93164,-1.84755,61.00
-3.01,-3.00,7.56,4.88281,-3.16723,61.00
3.70,6.87,-2.13,4.83398,-4.48691,61.00
-6.00,-7.94,3.72,5.42969,11.61318,61.00
-7.46,-9.71,2.80,5.67383,18.21157,61.00
7.05,5.35,0.73,5.01953,0.52787,61.00
-5.21,-9.77,1.89,5.10742,2.90329,61.00
-8.38,-1.36,-3.05,5.00000,0.00000,61.00
4.06,3.40,-2.99,4.26758,-19.79519,61.00
-4.96,-6.72,-2.56,4.92187,-2.11149,61.00
-0.82,4.56,-6.40,4.94141,-1.58361,61.00
0.28,-1.17,0.61,4.82422,-4.75084,61.00
-1.55,-1.36,-2.13,5.28320,7.65414,61.00
-4.35,-5.63,-0.73,5.75195,20.32306,61.00
-6.55,-9.53,3.90,5.05859,1.58361,61.00
8.88,11.63,-0.61,5.10742,2.90329,61.00
0.53,-0.81,-2.20,5.09766,2.63936,61.00
-3.38,-8.06,-6.16,4.42383,-15.57221,61.00
2.35,8.15,-1.04,4.23828,-20.58699,61.00
5.46,6.26,0.49,4.92187,-2.11149,61.00
-6.00,-11.11,4.57,4.81445,-5.01478,61.00
-1.00,1.33,2.80,4.95117,-1.31968,61.00
5.65,7.79,-4.33,5.56641,15.30828,61.00
1.44,-4.83,-3.54,5.05859,1.58361,61.00
-2.77,-1.78,-0.30,5.05859,1.58361,61.00
9.00,6.75,-0.55,5.14648,3.95904,61.00
-9.29,-7.03,-6.22,4.71680,-7.65414,61.00
5.89,5.53,1.10,4.15039,-22.96242,61.00
-5.57,-7.15,-0.37,4.93164,-1.84755,61.00
-2.52,5.29,-3.05,4.88281,-3.16723,61.00
6.81,5.29,-3.35,4.81445,-5.01478,61.00
-6.18,-8.67,2.38,5.39062,10.55743,61.00
9.98,13.34,-3.72,5.65430,17.68370,61.00
-1.55,-3.92,-1.71,5.00977,0.26394,61.00
-10.39,-10.26,-0.98,5.08789,2.37542,61.00
9.79,9.01,-0.61,5.10742,2.90329,61.00
-7.58,-7.45,-0.98,4.51172,-13.19679,61.00
-4.72,-1.05,0.98,4.40430,-16.10009,61.00
4.25,0.05,4.27,4.94141,-1.58361,61.00
-7.28,-4.65,0.00,4.82422,-4.75084,61.00
2.17,5.23,-3.35,4.98047,-0.52787,61.00
-4.35,-3.13,-7.38,5.54687,14.78041,61.00
0.16,0.72,-1.77,5.03906,1.05574,61.00
-5.63,-9.41,2.74,5.06836,1.84755,61.00
-0.15,4.31,-1.77,5.15625,4.22297,61.00
3.39,-1.78,3.78,4.71680,-7.65414,61.00
-6.18,-6.60,-2.38,4.16016,-22.69848,61.00
5.89,9.25,-6.89,4.93164,-1.84755,61.00
8.09,7.67,3.05,4.86328,-3.69510,61.00
-5.69,-8.25,2.87,4.80469,-5.27872,61.00
-11.30,-9.89,7.32,5.41016,11.08530,61.00
6.01,9.98,1.46,5.71289,19.26732,61.00
2.05,-0.75,-3.17,5.03906,1.05574,61.00
-4.72,-5.38,-4.09,5.11719,3.16723,61.00
-1.24,0.72,-4.21,5.05859,1.58361,61.00
