0,1,2,3,4
67.39,-20.81,-84.79,4.99023,-0.26394
-65.72,94.19,-13.63,4.99023,-0.26394
103.49,-45.32,-16.19,5.09766,2.63936
50.87,36.57,20.51,5.01953,0.52787
-49.74,34.44,-4.06,5.00977,0.26394
-70.96,40.96,0.33,5.00000,0.00000
-63.03,63.64,-36.80,5.00977,0.26394
-41.14,93.34,-42.66,5.01953,0.52787
106.48,0.47,-37.17,4.98047,-0.52787
205.26,-36.42,-71.07,4.92187,-2.11149
-84.62,74.74,59.66,4.91211,-2.37542
54.95,7.18,-83.63,5.00977,0.26394
18.61,26.81,-18.39,4.97070,-0.79181
16.11,3.52,-73.88,5.03906,1.05574
54.53,-23.31,-69.79,5.00977,0.26394
57.03,19.92,-67.05,4.99023,-0.26394
95.32,-48.00,-70.40,5.07812,2.11149
63.73,-29.04,-88.39,5.02930,0.79181
55.08,-18.06,-75.95,5.02930,0.79181
28.43,40.47,-32.60,5.00977,0.26394
-25.29,88.46,-49.43,5.00977,0.26394
-90.66,1.57,3.68,5.10742,2.90329
-114.98,27.36,22.65,5.10742,2.90329
-65.72,95.78,-11.50,5.06836,1.84755
-21.02,99.31,-24.43,4.93164,-1.84755
-119.74,22.61,4.96,5.19531,5.27872
-83.09,73.89,19.72,5.34180,9.23775
-42.36,69.43,-4.79,5.00977,0.26394
-2.18,29.50,-35.52,5.18555,5.01478
146.29,64.56,-136.50,5.01953,0.52787
37.27,48.58,-42.41,5.00977,0.26394
49.95,-18.86,-48.14,5.02930,0.79181
15.93,15.47,-18.33,4.99023,-0.26394
-14.44,-22.09,-52.47,5.00000,0.00000
-138.95,62.73,13.74,4.99023,-0.26394
8.98,112.79,3.81,5.02930,0.79181
105.99,42.30,-58.63,5.00000,0.00000
103.79,-102.70,-59.12,4.89258,-2.90329
-82.00,72.85,44.23,5.00000,0.00000
30.93,-34.77,-55.10,4.99023,-0.26394
73.61,20.04,-86.92,5.00977,0.26394
-148.46,10.65,14.96,5.02930,0.79181
149.89,-54.59,-61.86,4.92187,-2.11149
-41.75,38.15,-0.16,5.00000,0.00000
59.77,-30.38,-64.06,5.04883,1.31968
26.78,-13.06,-15.89,5.04883,1.31968
54.22,-1.72,-17.47,4.99023,-0.26394
109.28,-27.09,-62.35,4.89258,-2.90329
-64.31,65.23,-16.93,5.04883,1.31968
-7.49,43.95,0.15,4.97070,-0.79181
118.00,-137.27,-27.96,5.04883,1.31968
-72.12,53.46,46.61,5.00977,0.26394
77.70,-73.98,-78.45,5.02930,0.79181
-102.48,81.51,-17.47,5.03906,1.05574
17.39,43.15,0.45,5.01953,0.52787
131.23,-28.74,-47.84,4.98047,-0.52787
-176.39,-8.74,17.83,5.00000,0.00000
134.65,-49.65,-153.51,4.99023,-0.26394
-115.41,60.78,13.32,5.10742,2.90329
72.76,29.68,-83.08,4.97070,-0.79181
-37.06,76.39,10.70,4.99023,-0.26394
63.98,-43.31,-21.99,5.00000,0.00000
-61.75,-40.93,9.60,5.12695,3.43117
161.84,-70.50,-47.35,4.98047,-0.52787
-59.86,162.60,26.37,4.96094,-1.05574
-32.91,-7.27,-51.50,4.97070,-0.79181
84.16,1.33,-61.01,4.92187,-2.11149
-35.90,41.63,6.12,4.99023,-0.26394
153.73,0.53,-128.45,4.98047,-0.52787
-120.59,82.91,2.71,4.97070,-0.79181
34.59,-43.67,-87.05,4.95117,-1.31968
-49.13,69.19,-15.77,5.03906,1.05574
115.62,-39.28,-82.60,4.92187,-2.11149
-23.77,72.73,-5.89,4.96094,-1.05574
65.87,-38.61,-76.92,4.99023,-0.26394
-71.81,47.79,-27.90,4.96094,-1.05574
127.57,-43.67,-116.80,4.97070,-0.79181
-107.55,43.70,16.98,4.96094,-1.05574
-1.33,55.11,-48.94,5.13672,3.69510
-225.53,30.90,-22.29,4.94141,-1.58361
33.12,2.36,-61.44,5.00000,0.00000
-74.50,25.59,18.62,4.87305,-3.43117
156.42,-117.58,-215.03,5.00977,0.26394
26.54,97.06,6.98,4.94141,-1.58361
-81.14,29.44,-17.78,4.92187,-2.11149
-111.08,47.24,23.01,5.10742,2.90329
-173.95,0.65,109.54,4.98047,-0.52787
38.06,-48.86,-59.30,5.00977,0.26394
22.27,60.78,-11.38,4.88281,-3.16723
61.17,64.74,-83.82,4.96094,-1.05574
-235.10,100.47,8.20,4.98047,-0.52787
8.25,-28.80,-8.02,4.97070,-0.79181
98.86,-53.00,-73.39,4.93164,-1.84755
-69.25,75.23,59.96,4.85352,-3.95904
44.47,-87.88,-74.55,4.95117,-1.31968
-222.61,98.89,51.98,4.99023,-0.26394
-11.33,30.29,-34.55,4.94141,-1.58361
