0,1,2,3,4,5
2.72,5.14,5.51,4.90234,-2.63936,31.00
-10.27,-2.66,-35.95,4.89258,-2.90329,31.00
-12.47,8.13,-36.93,4.89258,-2.90329,31.00
-1.80,0.87,-8.27,4.85352,-3.95904,31.00
2.35,0.51,16.24,4.90234,-2.63936,31.00
6.62,-11.93,18.68,4.88281,-3.16723,31.00
-4.84,-2.30,-16.68,4.94141,-1.58361,31.00
-12.77,7.15,-45.40,4.88281,-3.16723,31.00
-7.89,2.52,-33.03,4.90234,-2.63936,31.00
-3.08,-3.76,0.08,4.87305,-3.43117,31.00
7.78,1.79,21.85,4.88281,-3.16723,31.00
4.18,-5.59,20.94,4.92187,-2.11149,31.00
-0.82,-4.55,-0.04,4.88281,-3.16723,31.00
-9.11,13.50,-26.32,4.89258,-2.90329,31.00
-12.22,-8.39,-36.93,4.88281,-3.16723,31.00
-2.65,-3.39,-18.82,4.85352,-3.95904,31.00
-0.39,0.57,23.01,4.88281,-3.16723,31.00
9.73,-16.44,21.73,4.90234,-2.63936,31.00
-7.04,9.29,-29.98,4.87305,-3.43117,31.00
5.22,-1.08,3.32,4.81445,-5.01478,31.00
9.30,-4.55,39.29,4.90234,-2.63936,31.00
8.20,3.01,3.93,4.90234,-2.63936,31.00
-12.89,5.08,-61.44,4.92187,-2.11149,31.00
-1.92,7.15,-16.81,4.89258,-2.90329,31.00
5.22,0.20,24.66,4.85352,-3.95904,31.00
-9.97,-11.87,-23.70,4.94141,-1.58361,31.00
0.89,2.58,-18.39,4.84375,-4.22297,31.00
-6.31,5.26,-12.54,4.89258,-2.90329,31.00
0.83,-8.09,21.43,4.85352,-3.95904,31.00
15.09,-3.33,25.02,4.90234,-2.63936,31.00
-9.48,4.96,-33.03,4.86328,-3.69510,31.00
-3.44,12.34,-39.98,4.91211,-2.37542,31.00
6.31,-11.14,15.94,4.87305,-3.43117,31.00
-3.50,8.74,-29.43,4.89258,-2.90329,31.00
-1.43,2.70,9.35,4.85352,-3.95904,31.00
-0.94,-1.69,4.35,4.86328,-3.69510,31.00
-1.80,1.18,-5.83,4.86328,-3.69510,31.00
-9.17,7.22,-23.15,4.97070,-0.79181,31.00
-25.33,3.50,-57.42,4.89258,-2.90329,31.00
-4.30,-4.55,-5.59,4.87305,-3.43117,31.00
6.31,-0.95,13.50,4.88281,-3.16723,31.00
-20.51,9.11,-56.38,4.89258,-2.90329,31.00
-3.38,1.55,-7.29,4.92187,-2.11149,31.00
9.79,-5.47,43.25,4.90234,-2.63936,31.00
-11.61,-0.28,-27.42,4.88281,-3.16723,31.00
4.18,-10.89,24.41,4.88281,-3.16723,31.00
3.27,-8.03,3.99,4.88281,-3.16723,31.00
-26.12,7.34,-66.87,4.86328,-3.69510,31.00
-7.22,13.07,-56.20,4.91211,-2.37542,31.00
0.58,7.40,12.04,4.85352,-3.95904,31.00
6.25,10.20,11.79,4.90234,-2.63936,31.00
-15.39,3.13,-30.59,4.91211,-2.37542,31.00
-22.59,8.01,-65.34,4.87305,-3.43117,31.00
-5.09,35.63,-61.13,4.90234,-2.63936,31.00
-9.42,6.36,-42.42,4.90234,-2.63936,31.00
-1.61,-7.85,11.06,4.89258,-2.90329,31.00
1.86,1.12,12.64,4.88281,-3.16723,31.00
-1.98,-0.16,16.49,4.91211,-2.37542,31.00
6.44,-14.92,29.35,4.86328,-3.69510,31.00
19.30,-18.64,53.80,4.89258,-2.90329,31.00
16.99,0.94,46.43,4.91211,-2.37542,31.00
11.01,-15.47,52.03,4.89258,-2.90329,31.00
23.63,-12.42,51.55,4.91211,-2.37542,31.00
27.23,11.18,49.35,4.86328,-3.69510,31.00
24.97,8.19,45.02,4.85352,-3.95904,31.00
29.97,-10.10,55.45,4.90234,-2.63936,31.00
22.41,-15.28,42.40,4.90234,-2.63936,31.00
13.45,-5.77,18.50,4.89258,-2.90329,31.00
15.64,-9.67,23.01,4.93164,-1.84755,31.00
19.30,-1.87,27.04,4.88281,-3.16723,31.00
-3.32,12.95,-14.98,4.91211,-2.37542,31.00
-6.55,-5.10,-13.45,4.89258,-2.90329,31.00
14.36,-2.97,18.25,4.86328,-3.69510,31.00
4.30,-1.63,8.56,4.90234,-2.63936,31.00
9.24,-6.08,12.89,4.94141,-1.58361,31.00
16.92,-11.08,21.12,4.87305,-3.43117,31.00
19.73,16.30,45.08,4.86328,-3.69510,31.00
9.30,-8.09,23.50,4.91211,-2.37542,31.00
28.02,-7.24,44.72,4.95117,-1.31968,31.00
7.05,-3.45,20.27,4.90234,-2.63936,31.00
3.02,0.02,-4.18,4.87305,-3.43117,31.00
-2.04,2.46,1.67,4.86328,-3.69510,31.00
1.62,-5.35,27.64,4.90234,-2.63936,31.00
26.68,-16.56,50.27,4.87305,-3.43117,31.00
7.29,0.14,0.39,4.90234,-2.63936,31.00
-7.59,21.06,-32.78,4.90234,-2.63936,31.00
-2.59,2.89,-27.72,4.86328,-3.69510,31.00
0.34,-7.66,-10.77,4.90234,-2.63936,31.00
-2.47,4.47,-10.10,4.86328,-3.69510,31.00
-6.19,3.86,-5.77,4.88281,-3.16723,31.00
3.45,-11.26,29.96,4.91211,-2.37542,31.00
-1.12,8.37,-4.43,4.91211,-2.37542,31.00
-5.39,14.47,-35.22,4.94141,-1.58361,31.00
-13.69,23.56,-51.50,4.89258,-2.90329,31.00
-27.04,11.79,-73.94,4.92187,-2.11149,31.00
1.99,15.81,-42.78,4.87305,-3.43117,31.00
-3.08,13.86,-39.67,4.88281,-3.16723,31.00
-2.65,-13.33,10.02,4.88281,-3.16723,31.00
3.63,-12.60,28.56,4.89258,-2.90329,31.00
0.16,-6.56,35.51,4.95117,-1.31968,31.00
5.28,-12.78,33.62,4.95117,-1.31968,31.00
16.13,-2.54,28.25,4.90234,-2.63936,31.00
11.80,7.46,11.18,4.91211,-2.37542,31.00
-7.16,11.55,-14.31,4.90234,-2.63936,31.00
-5.88,18.19,-33.57,4.88281,-3.16723,31.00
-12.34,9.29,-39.92,4.93164,-1.84755,31.00
-2.95,-7.97,-39.67,4.91211,-2.37542,31.00
-2.16,8.19,-1.32,4.88281,-3.16723,31.00
1.44,-0.71,19.41,4.91211,-2.37542,31.00
12.59,-18.09,39.84,4.91211,-2.37542,31.00
9.00,4.11,10.69,4.91211,-2.37542,31.00
-9.72,19.90,-34.61,4.92187,-2.11149,31.00
-11.49,17.70,-42.42,4.88281,-3.16723,31.00
-0.03,-5.41,15.82,4.91211,-2.37542,31.00
5.70,3.74,2.65,4.89258,-2.90329,31.00
5.03,5.45,10.75,4.91211,-2.37542,31.00
-2.65,-5.16,-2.84,4.90234,-2.63936,31.00
-10.70,0.87,-11.93,4.85352,-3.95904,31.00
-17.16,11.06,-44.37,4.91211,-2.37542,31.00
-11.98,8.68,-48.03,4.94141,-1.58361,31.00
-2.34,-2.11,-9.25,4.93164,-1.84755,31.00
11.07,-16.14,45.27,4.91211,-2.37542,31.00
-7.28,10.63,-19.61,4.86328,-3.69510,31.00
-29.66,21.00,-77.23,4.90234,-2.63936,31.00
-27.59,9.90,-82.17,4.94141,-1.58361,31.00
-23.26,12.28,-64.98,4.94141,-1.58361,31.00
-15.33,19.29,-73.39,4.95117,-1.31968,31.00
-8.93,-1.26,-29.61,4.90234,-2.63936,31.00
-1.55,-6.44,14.05,4.91211,-2.37542,31.00
11.07,-1.99,32.04,4.88281,-3.16723,31.00
14.73,0.57,32.34,4.93164,-1.84755,31.00
8.08,-15.34,25.39,4.90234,-2.63936,31.00
10.28,-4.37,15.63,4.93164,-1.84755,31.00
-11.37,8.62,-27.78,4.89258,-2.90329,31.00
-10.03,13.31,-30.77,4.95117,-1.31968,31.00
-21.55,0.75,-48.88,4.87305,-3.43117,31.00
-10.39,2.22,-66.99,4.92187,-2.11149,31.00
-8.50,18.80,-44.55,4.90234,-2.63936,31.00
-2.22,8.31,-35.59,4.92187,-2.11149,31.00
0.64,-5.41,-0.34,4.91211,-2.37542,31.00
