0,1,2,3,4,5
2-2.33,1.15,0.71,4.81445,-5.01478,29.00
-1.35,4.14,0.47,4.79492,-5.54265,29.00
4.32,9.08,-4.41,4.78516,-5.80659,29.00
3.22,3.16,-6.24,4.80469,-5.27872,29.00
3.10,3.77,-1.55,4.83398,-4.48691,29.00
2.06,1.21,2.17,4.80469,-5.27872,29.00
-6.11,-10.62,5.71,4.84375,-4.22297,29.00
-0.56,-3.18,2.91,4.81445,-5.01478,29.00
-5.87,-1.71,1.32,4.80469,-5.27872,29.00
5.78,9.38,-1.00,4.79492,-5.54265,29.00
2.67,3.77,0.16,4.84375,-4.22297,29.00
1.88,-2.51,-1.36,4.82422,-4.75084,29.00
-6.29,-8.91,3.03,4.85352,-3.95904,29.00
-2.45,-4.95,1.50,4.80469,-5.27872,29.00
-5.26,-0.13,-1.91,4.85352,-3.95904,29.00
2.97,8.41,-2.70,4.77539,-6.07052,29.00
2.91,4.38,-3.56,4.76562,-6.33446,29.00
5.54,6.03,-8.62,4.76562,-6.33446,29.00
-1.96,-7.32,-3.25,4.81445,-5.01478,29.00
-5.56,-8.30,3.82,4.80469,-5.27872,29.00
-4.59,-4.03,5.95,4.79492,-5.54265,29.00
-3.49,1.64,1.02,4.85352,-3.95904,29.00
3.65,9.93,0.53,4.81445,-5.01478,29.00
3.10,7.25,1.56,4.83398,-4.48691,29.00
-0.14,4.57,-1.85,4.79492,-5.54265,29.00
0.96,0.30,0.71,4.72656,-7.39020,29.00
1.08,-5.50,-1.73,4.75586,-6.59840,29.00
-4.95,-8.48,5.22,4.77539,-6.07052,29.00
-4.22,-7.45,0.65,4.73633,-7.12627,29.00
-3.85,-5.43,1.56,4.77539,-6.07052,29.00
-2.51,4.08,1.63,4.79492,-5.54265,29.00
2.36,7.86,0.83,4.78516,-5.80659,29.00
5.78,11.27,-0.02,4.77539,-6.07052,29.00
4.99,7.86,5.22,4.76562,-6.33446,29.00
3.10,-3.42,2.42,4.79492,-5.54265,29.00
-5.81,-13.42,2.78,4.80469,-5.27872,29.00
-8.00,-13.97,3.21,4.75586,-6.59840,29.00
-2.39,-3.67,1.63,4.78516,-5.80659,29.00
-9.40,-4.64,-2.58,4.81445,-5.01478,29.00
5.05,15.48,-0.94,4.79492,-5.54265,29.00
2.49,11.52,-1.73,4.77539,-6.07052,29.00
9.50,12.19,1.14,4.80469,-5.27872,29.00
1.02,4.75,0.65,4.79492,-5.54265,29.00
1.45,2.19,1.50,4.81445,-5.01478,29.00
1.27,-3.24,-3.98,4.78516,-5.80659,29.00
-7.76,-12.45,2.85,4.84375,-4.22297,29.00
-6.05,-8.48,2.30,4.82422,-4.75084,29.00
-6.90,-8.42,5.04,4.77539,-6.07052,29.00
-3.00,-0.13,-0.14,4.80469,-5.27872,29.00
-1.84,4.26,1.20,4.80469,-5.27872,29.00
7.67,13.47,-3.80,4.77539,-6.07052,29.00
3.95,12.00,-0.08,4.83398,-4.48691,29.00
6.39,5.60,-2.95,4.82422,-4.75084,29.00
1.15,-2.02,3.33,4.80469,-5.27872,29.00
-3.61,-13.79,-0.02,4.76562,-6.33446,29.00
-6.60,-10.43,3.09,4.80469,-5.27872,29.00
-4.10,-7.20,2.36,4.80469,-5.27872,29.00
-3.25,3.35,-1.00,4.82422,-4.75084,29.00
0.41,6.33,1.56,4.77539,-6.07052,29.00
6.21,12.74,-1.79,4.80469,-5.27872,29.00
6.08,7.68,-2.58,4.79492,-5.54265,29.00
1.51,-0.07,1.63,4.78516,-5.80659,29.00
-4.28,-17.45,2.30,4.82422,-4.75084,29.00
-6.84,-11.53,3.15,4.77539,-6.07052,29.00
-1.78,-3.79,3.03,4.76562,-6.33446,29.00
-0.56,-3.67,-5.51,4.76562,-6.33446,29.00
0.47,6.33,-0.57,4.75586,-6.59840,29.00
3.52,11.46,-1.00,4.75586,-6.59840,29.00
5.17,9.44,0.35,4.77539,-6.07052,29.00
1.27,-0.25,1.87,4.79492,-5.54265,29.00
2.61,-5.43,-1.79,4.74609,-6.86233,29.00
-9.40,-16.35,3.82,4.77539,-6.07052,29.00
-2.21,-4.89,0.95,4.77539,-6.07052,29.00
-3.31,0.05,2.11,4.75586,-6.59840,29.00
2.61,7.49,-0.69,4.77539,-6.07052,29.00
4.13,10.97,-0.33,4.73633,-7.12627,29.00
3.77,9.08,-0.75,4.77539,-6.07052,29.00
3.95,6.03,0.28,4.75586,-6.59840,29.00
1.75,1.94,1.93,4.73633,-7.12627,29.00
-3.61,-3.79,-0.39,4.72656,-7.39020,29.00
0.66,-7.63,-1.61,4.78516,-5.80659,29.00
-7.27,-14.34,0.95,4.77539,-6.07052,29.00
-2.94,-11.04,-0.08,4.74609,-6.86233,29.00
-8.18,-11.96,0.28,4.75586,-6.59840,29.00
-2.33,-5.62,3.27,4.75586,-6.59840,29.00
-1.17,-3.54,7.91,4.76562,-6.33446,29.00
-4.22,-7.75,4.06,4.73633,-7.12627,29.00
-2.51,-6.41,1.38,4.74609,-6.86233,29.00
-2.57,-3.36,4.37,4.71680,-7.65414,29.00
-4.95,-4.95,4.43,4.77539,-6.07052,29.00
-2.15,-1.53,0.22,4.76562,-6.33446,29.00
3.16,3.22,-1.18,4.73633,-7.12627,29.00
-1.96,6.58,3.09,4.81445,-5.01478,29.00
-2.76,2.19,-0.26,4.81445,-5.01478,29.00
0.84,9.08,-2.83,4.80469,-5.27872,29.00
4.80,12.86,-0.87,4.77539,-6.07052,29.00
3.52,10.42,0.47,4.76562,-6.33446,29.00
-1.42,9.26,-3.13,4.77539,-6.07052,29.00
4.32,13.71,-2.89,4.74609,-6.86233,29.00
3.46,11.70,-1.06,4.75586,-6.59840,29.00
-1.84,6.03,-1.85,4.76562,-6.33446,29.00
7.43,15.60,-1.00,4.73633,-7.12627,29.00
4.13,9.99,-0.20,4.74609,-6.86233,29.00
4.99,7.19,1.20,4.80469,-5.27872,29.00
-5.44,-0.25,-1.67,4.78516,-5.80659,29.00
1.45,4.99,0.35,4.77539,-6.07052,29.00
2.36,0.30,2.91,4.76562,-6.33446,29.00
-0.14,-5.92,3.76,4.76562,-6.33446,29.00
-3.61,-12.08,-1.55,4.77539,-6.07052,29.00
-9.22,-13.30,2.48,4.78516,-5.80659,29.00
-2.45,-3.30,-0.33,4.73633,-7.12627,29.00
-3.49,-5.19,0.65,4.75586,-6.59840,29.00
4.32,8.22,3.03,4.80469,-5.27872,29.00
1.82,10.72,1.75,4.78516,-5.80659,29.00
3.83,12.00,-1.36,4.74609,-6.86233,29.00
0.84,0.18,-6.12,4.84375,-4.22297,29.00
1.33,4.38,-1.30,4.77539,-6.07052,29.00
2.61,-2.81,0.04,4.78516,-5.80659,29.00
-0.93,-10.19,-0.81,4.81445,-5.01478,29.00
-6.96,-8.00,4.55,4.78516,-5.80659,29.00
-4.28,-5.07,2.66,4.75586,-6.59840,29.00
-6.48,-6.35,-2.22,4.77539,-6.07052,29.00
-0.38,4.50,0.47,4.84375,-4.22297,29.00
-0.07,4.87,0.16,4.87305,-3.43117,29.00
3.71,10.24,5.10,4.80469,-5.27872,29.00
7.00,11.40,-1.42,4.80469,-5.27872,29.00
2.06,9.81,1.08,4.76562,-6.33446,29.00
9.38,15.11,-2.46,4.81445,-5.01478,29.00
1.45,3.10,-0.26,4.79492,-5.54265,29.00
1.45,1.76,1.26,4.79492,-5.54265,29.00
-4.95,-11.29,-4.41,4.83398,-4.48691,29.00
-0.62,-8.12,-1.48,4.80469,-5.27872,29.00
-1.23,-11.29,-0.39,4.77539,-6.07052,29.00
-11.66,-17.69,2.24,4.82422,-4.75084,29.00
-6.48,-9.64,2.05,4.82422,-4.75084,29.00
-3.98,-8.42,3.76,4.78516,-5.80659,29.00
-1.60,-1.53,5.89,4.80469,-5.27872,29.00
-3.85,-4.64,2.24,4.78516,-5.80659,29.00
-4.53,-3.48,1.63,4.83398,-4.48691,29.00
1.88,5.42,-0.45,4.88281,-3.16723,29.00
-2.03,4.75,1.26,4.79492,-5.54265,29.00
-3.67,1.64,2.05,4.81445,-5.01478,29.00
2.18,5.42,-2.46,4.81445,-5.01478,29.00
3.95,9.75,-2.09,4.80469,-5.27872,29.00
7.79,14.63,-0.08,4.82422,-4.75084,29.00
6.15,7.13,-0.51,4.82422,-4.75084,29.00
4.99,5.97,-1.79,4.74609,-6.86233,29.00
-0.20,3.47,-6.97,4.82422,-4.75084,29.00
3.89,2.86,0.35,4.76562,-6.33446,29.00
2.12,1.40,1.26,4.78516,-5.80659,29.00
-4.46,-9.40,-2.09,4.76562,-6.33446,29.00
1.21,-5.80,-3.13,4.78516,-5.80659,29.00
-0.01,-7.02,-1.12,4.76562,-6.33446,29.00
-3.73,-11.78,2.97,4.74609,-6.86233,29.00
-10.93,-17.45,-2.22,4.79492,-5.54265,29.00
-6.23,-9.15,3.21,4.82422,-4.75084,29.00
-5.32,-9.40,8.27,4.79492,-5.54265,29.00
-7.15,-7.02,6.08,4.79492,-5.54265,29.00
-2.09,-2.93,1.20,4.78516,-5.80659,29.00
1.15,2.86,-6.61,4.80469,-5.27872,29.00
1.21,7.37,-1.79,4.82422,-4.75084,29.00
3.52,11.88,0.16,4.80469,-5.27872,29.00
-0.26,2.98,-1.48,4.75586,-6.59840,29.00
2.18,5.66,-1.48,4.75586,-6.59840,29.00
1.27,2.92,-0.45,4.82422,-4.75084,29.00
6.82,5.72,0.77,4.81445,-5.01478,29.00
0.23,-6.17,1.44,4.77539,-6.07052,29.00
-1.48,-8.42,0.41,4.81445,-5.01478,29.00
-12.76,-15.56,-5.51,4.82422,-4.75084,29.00
-2.51,-3.24,0.35,4.82422,-4.75084,29.00
-3.06,-3.42,-0.51,4.87305,-3.43117,29.00
-2.21,-4.34,2.24,4.83398,-4.48691,29.00
-0.32,4.63,1.93,4.88281,-3.16723,29.00
4.01,12.07,0.10,4.79492,-5.54265,29.00
2.06,1.58,-4.41,4.76562,-6.33446,29.00
4.86,5.60,-4.59,4.80469,-5.27872,29.00
2.36,1.58,2.42,4.80469,-5.27872,29.00
0.41,-3.24,2.11,4.75586,-6.59840,29.00
-5.81,-11.65,3.03,4.80469,-5.27872,29.00
-7.15,-8.67,3.39,4.80469,-5.27872,29.00
-2.45,-1.96,0.47,4.76562,-6.33446,29.00
-3.73,-0.07,-3.44,4.81445,-5.01478,29.00
-1.54,2.55,0.53,4.84375,-4.22297,29.00
3.28,8.83,-1.73,4.81445,-5.01478,29.00
4.19,9.26,-0.14,4.80469,-5.27872,29.00
6.21,9.57,-3.01,4.80469,-5.27872,29.00
-1.11,1.15,-7.76,4.84375,-4.22297,29.00
4.19,0.42,-4.11,4.79492,-5.54265,29.00
-0.01,-8.42,0.41,4.77539,-6.07052,29.00
-5.62,-11.29,3.70,4.89258,-2.90329,29.00
-6.96,-9.89,3.33,4.80469,-5.27872,29.00
-3.61,-8.36,1.50,4.82422,-4.75084,29.00
4.80,6.70,-1.61,4.81445,-5.01478,29.00
-2.76,0.54,0.89,4.82422,-4.75084,29.00
0.96,10.24,1.44,4.80469,-5.27872,29.00
-1.54,3.65,-0.26,4.75586,-6.59840,29.00
6.51,12.25,-3.74,4.79492,-5.54265,29.00
4.01,5.66,-3.50,4.84375,-4.22297,29.00
11.63,14.50,3.58,4.82422,-4.75084,29.00
3.10,1.09,-0.20,4.78516,-5.80659,29.00
6.27,0.05,-0.45,4.79492,-5.54265,29.00
-0.62,-8.85,-8.62,4.86328,-3.69510,29.00
-7.76,-9.09,1.69,4.85352,-3.95904,29.00
-5.56,-6.29,2.48,4.86328,-3.69510,29.00
-2.57,-4.21,7.85,4.81445,-5.01478,29.00
-4.28,0.54,-0.39,4.81445,-5.01478,29.00
-0.50,5.24,2.78,4.85352,-3.95904,29.00
6.02,12.61,-4.35,4.86328,-3.69510,29.00
4.07,7.49,-2.70,4.83398,-4.48691,29.00
2.79,5.42,-3.07,4.80469,-5.27872,29.00
1.82,1.09,4.19,4.81445,-5.01478,29.00
-1.96,-12.32,-1.42,4.82422,-4.75084,29.00
-3.85,-13.12,-1.85,4.84375,-4.22297,29.00
-3.25,-6.04,1.26,4.82422,-4.75084,29.00
-1.78,-4.21,1.81,4.81445,-5.01478,29.00
0.78,-0.31,-0.81,4.81445,-5.01478,29.00
-1.17,1.52,0.41,4.81445,-5.01478,29.00
4.19,9.50,-0.94,4.79492,-5.54265,29.00
2.49,4.75,-2.28,4.82422,-4.75084,29.00
2.24,-0.56,-0.63,4.82422,-4.75084,29.00
1.27,-5.62,-0.75,4.83398,-4.48691,29.00
-3.37,-9.76,-3.92,4.87305,-3.43117,29.00
-1.35,-1.04,5.22,4.84375,-4.22297,29.00
-2.09,-4.52,1.56,4.85352,-3.95904,29.00
-3.61,-4.70,-0.20,4.82422,-4.75084,29.00
-1.66,-4.34,0.83,4.78516,-5.80659,29.00
5.29,12.25,-0.51,4.77539,-6.07052,29.00
5.72,4.57,-4.53,4.74609,-6.86233,29.00
5.60,7.55,0.16,4.77539,-6.07052,29.00
2.12,-0.86,-1.67,4.71680,-7.65414,29.00
-4.53,-9.28,-1.36,4.78516,-5.80659,29.00
-5.50,-9.21,4.80,4.76562,-6.33446,29.00
-3.43,-4.34,2.24,4.74609,-6.86233,29.00
-8.79,-7.81,-1.91,4.76562,-6.33446,29.00
1.51,7.74,-0.02,4.77539,-6.07052,29.00
4.19,10.24,-0.33,4.74609,-6.86233,29.00
11.27,14.81,-1.55,4.78516,-5.80659,29.00
1.88,3.90,4.37,4.74609,-6.86233,29.00
1.21,0.24,-0.45,4.76562,-6.33446,29.00
-3.49,-5.68,-3.01,4.76562,-6.33446,29.00
-4.53,-7.45,0.10,4.82422,-4.75084,29.00
-8.12,-10.62,2.91,4.79492,-5.54265,29.00
-1.60,0.11,5.53,4.77539,-6.07052,29.00
-0.20,3.10,5.04,4.80469,-5.27872,29.00
3.65,10.85,0.53,4.75586,-6.59840,29.00
2.79,4.63,-1.12,4.73633,-7.12627,29.00
-0.38,-0.19,0.47,4.72656,-7.39020,29.00
4.68,2.13,0.35,4.76562,-6.33446,29.00
3.83,-0.56,-2.58,4.72656,-7.39020,29.00
-4.95,-8.48,-1.18,4.77539,-6.07052,29.00
-2.51,-5.13,1.63,4.74609,-6.86233,29.00
-10.14,-5.80,-0.81,4.75586,-6.59840,29.00
1.88,8.96,-0.94,4.71680,-7.65414,29.00
6.51,9.14,-1.73,4.78516,-5.80659,29.00
-3.79,-0.07,-0.94,4.78516,-5.80659,29.00
-6.78,-12.39,0.95,4.77539,-6.07052,29.00
-5.07,-8.06,4.06,4.77539,-6.07052,29.00
-5.01,-5.86,-1.61,4.75586,-6.59840,29.00
-0.75,6.58,-3.62,4.68750,-8.44595,29.00
3.40,10.85,-1.73,4.75586,-6.59840,29.00
10.05,13.47,-2.34,4.79492,-5.54265,29.00
1.94,-0.98,-1.30,4.72656,-7.39020,29.00
-5.93,-12.39,0.28,4.73633,-7.12627,29.00
-5.07,-6.29,8.58,4.75586,-6.59840,29.00
-4.71,-4.76,0.89,4.77539,-6.07052,29.00
-0.14,5.05,1.75,4.73633,-7.12627,29.00
3.22,8.59,1.75,4.76562,-6.33446,29.00
1.15,4.81,0.16,4.73633,-7.12627,29.00
4.25,-0.62,-0.02,4.77539,-6.07052,29.00
0.41,-7.39,-1.12,4.76562,-6.33446,29.00
-2.76,-3.67,-0.02,4.75586,-6.59840,29.00
-3.98,-3.67,0.59,4.72656,-7.39020,29.00
0.90,7.80,5.77,4.79492,-5.54265,29.00
7.55,10.30,3.09,4.73633,-7.12627,29.00
3.77,4.20,-3.13,4.76562,-6.33446,29.00
-1.48,-6.71,-1.97,4.77539,-6.07052,29.00
-7.57,-12.99,0.89,4.75586,-6.59840,29.00
-3.73,-6.41,2.66,4.75586,-6.59840,29.00
-0.87,-0.25,-1.36,4.74609,-6.86233,29.00
-2.03,3.41,-2.95,4.76562,-6.33446,29.00
3.89,10.79,1.99,4.72656,-7.39020,29.00
4.50,11.21,-2.64,4.77539,-6.07052,29.00
-0.26,-7.20,-1.67,4.73633,-7.12627,29.00
-7.39,-11.35,2.42,4.78516,-5.80659,29.00
-3.25,-5.50,4.00,4.76562,-6.33446,29.00
-1.84,-0.56,1.87,4.76562,-6.33446,29.00
1.45,5.91,1.20,4.76562,-6.33446,29.00
5.41,6.21,-0.14,4.74609,-6.86233,29.00
